sfp_step1,sfp_step2,AcpS_step1,Acps_step2
1679.423,1673.314,1386.723,1328.355
1650.88,1609.609,1491.395,1430.547
1494.934,1467.194,1381.842,1304.168
1671.427,1608.26,1372.783,1302.665
2011.25,1864.676,1608.13,1538.461
1442.552,1395.029,1289.475,1420.951
1372.694,1332.385,1157.767,1497.704
1247.382,1210.791,845.564,1329.278
1279.52,1238.661,867.935,1447.581
1381.512,1342.999,891.007,1460.368
1540.43,1502.419,1071.919,1557.72
1392.405,1365.71,1120.285,1434.248
1439.11,1409.945,827.136,1411.164
1623.136,1552.886,985.904,1498.525
1435.368,1378.713,1217.833,1472.312
1269.901,1222.307,1343.143,1379.806
1349.908,1292.056,1451.008,1374.024
1278.699,1221.601,1523.082,1465.292
1787.939,1716.793,1267.501,1201.222
1249.326,1196.639,1265.171,1207.899
1461.963,1412.533,1489.53,1463.942
1270.047,1227.22,1425.953,1389.495
1387.885,1339.88,1416.075,1376.467
1319.825,1275.457,1384.067,1271.937
1387.903,1305.914,1424.628,1339.965
1350.879,1312.167,1297.519,1265.248
1383.991,1334.357,1342.369,1281.106
1651.935,1547.485,1629.599,1538.694
1741.875,1679.938,1534.403,1431.363
1567.735,1523.869,1417.653,1368.71
1703.297,1664.788,1432.04,1390.325
1629.072,1592.434,1326.483,1292.848
1425.351,1354.303,1334.214,1259.718
1453.822,1412.35,1413.712,1317.595
1414.77,1381.369,1425.704,1375.768
1423.402,1397.839,1262.01,1328.733
1463.564,1418.162,1103.65,1342.303
1185.845,1157,820.362,1205.73
1484.761,1425.366,903.56,1493.985
1310.813,1267.339,819.601,1376.113
1701.915,1636.368,1051.483,1650.73
1829.887,1788.002,1306.007,1731.108
1360.018,1342.311,902.656,1457.935
1355.706,1302.102,1065.263,1424.096
1452.828,1381.408,1266.517,1378.853
1499.144,1408.368,1477.1,1393.305
1271.646,1215.812,1588.807,1517.661
1465.055,1404.805,1453.633,1439.388
1482.13,1440.606,1394.891,1367.504
1556.747,1497.549,1461.523,1435.596
1337.292,1305.31,1430.982,1447.907
1288.759,1246.077,1552.59,1525.214
1254.971,1215.017,1399.595,1338.657
1267.789,1197.846,1428.771,1296.606
1419.629,1362.576,1424.285,1357.613
1337.419,1296.55,1250.59,1198.654
1348.631,1316.905,1263.232,1236.609
1304.972,1259.022,1243.353,1185.723
1609.958,1540.416,1461.272,1346.764
2206.856,2126.604,1588.194,1520.786
1439.783,1391.646,1274.218,1225.485
1519.714,1489.41,1422.846,1373.935
1402.45,1357.925,1406.366,1354.479
2221.218,2033.844,2202.862,1937.709
1565.539,1460.619,1501.326,1309.384
1397.716,1357.699,1357.538,1373.055
