"","x"
"1",0.999998994669956
"2",0.999999038141204
"3",0.86278036734745
"4",0.984125739593325
"5",0.999995742330625
"6",0.960127471038997
"7",0.00997507849790607
"8",0.0888817720842661
"9",0.0705120963357706
"10",0.674452570353453
"11",0.834813281710133
"12",0.00600534295665822
"13",0.259673875957625
"14",0.00632389759630784
"15",0.681276944162052
"16",0.000889516903398874
