"","x"
"1",0.999999987409654
"2",0.999999964427639
"3",0.999907364614384
"4",0.999990138763061
"5",0.999999839041277
"6",0.999993614986108
"7",0.999755762329589
"8",0.934398655994631
"9",0.972876815421343
"10",0.993578823739033
"11",0.941123706855404
"12",0.898950133525106
"13",0.699049277345486
"14",0.0137992365110529
"15",0.00285439846892619
"16",0.033922569713557
"17",0.0669849574523887
"18",0.00929965690397003
"19",6.12901909350906e-05
"20",0.00310665287747995
"21",0.0402575932523691
"22",0.00419911408218728
"23",0.0276952245090617
"24",0.0539556781832725
"25",0.0429229537398413
"26",0.0238400689953048
"27",0.000340377117880046
"28",0.0419190537725663
"29",0.0625628226004349
"30",0.0756614632613488
"31",0.0743125321135054
"32",0.0719637152385508
"33",0.00025187102031695
"34",0.0553078110100083
"35",0.00246844467783616
"36",0.00335742070747417
"37",0.00346352286991226
"38",0.0354198565028094
"39",0.0982795397692155
"40",0.0533746983407605
"41",0.00372416373273807
"42",0.117671414669099
"43",0.006500146524058
"44",0.113616857291254
"45",0.0154183785281025
"46",0.000275878007840791
"47",0.0367295374020266
"48",0.00373066711279996
"49",0.0692045983526993
"50",0.00751458193072774
"51",0.0259789106855186
"52",0.14407901827256
"53",0.0015789291565314
"54",0.0058180732361042
"55",0.00539125745411176
"56",0.00793218428223279
"57",0.0284144237126039
"58",0.0103514281968998
"59",0.0231561632583684
"60",0.0025288670338003
"61",0.0256460744292867
"62",0.0159686339289346
"63",0.0133796372620696
"64",0.0842126068808939
"65",0.00585070834513359
"66",3.00111376904269e-05
"67",0.0069073792263525
"68",0.01353125077844
"69",0.0113417856253372
"70",0.0137710648710073
"71",0.00451787808750823
"72",0.0117141848265422
"73",0.0093665875650314
"74",0.0245655682849331
"75",0.0196159353263958
"76",0.0484053096289234
"77",0.0154593830202782
"78",0.0206443650437751
"79",0.00018099284205998
"80",0.11047359641016
"81",0.00374521460837851
"82",0.00610053085278719
"83",0.00396378664352447
"84",0.000963826052913147
"85",0.0487180077717313
"86",0.0727437520156524
"87",4.42185150212307e-05
"88",0.0172645774735699
"89",0.0182346932801951
"90",0.0285237575149666
"91",0.036433929962834
"92",0.0312150614311998
"93",0.0263897912040074
"94",0.00409816937350951
"95",0.0210580044149343
"96",0.291406188312965
"97",0.000327175620405782
"98",0.00180618037317566
"99",0.00118512843674021
"100",0.0170487416286177
"101",0.0138615181523216
"102",0.0242286481247054
"103",0.00357313366372999
"104",0.0501264033919329
"105",0.00075756967828998
"106",0.0160667709021974
"107",0.0304965140384464
"108",0.000154492649870011
"109",0.00975644152831786
"110",0.0325680242641288
"111",0.000372140024802128
"112",0.0237540175831753
"113",0.02617731268478
"114",0.0386873109193926
"115",0.0609693987856818
"116",0.0242664022378216
"117",0.00358428568557611
"118",0.107230392810906
"119",0.00574597084561265
"120",0.0555026063366877
"121",0.00154128952301796
"122",0.000580321317372633
"123",0.00930325818434395
"124",0.205880284267493
"125",0.00444507902106828
"126",0.0195961606260327
"127",0.0545481984209389
"128",0.024821410357916
"129",0.0271047713277856
"130",0.00929878103609409
"131",0.0422292148646679
"132",0.00395130359655346
"133",0.0578333599811703
"134",0.00419324828610409
"135",0.0170521875739394
"136",0.047510844785653
"137",0.0214665746684326
"138",0.0400811280985352
"139",0.000470227260947834
"140",0.0307540360055543
"141",0.0100905343778972
"142",0.00253553458354544
"143",0.0729063600402213
"144",0.0139274203209894
"145",0.00565092879317475
"146",0.0199251834438123
"147",0.0516941240944709
"148",0.0244111404669194
"149",0.0139906670474437
"150",0.000672712654119028
"151",0.0125969151037041
"152",0.0835716483832576
"153",0.000533510913842765
"154",0.0427372048491632
"155",0.00347135836546842
"156",0.000527157947014244
"157",0.052790839909015
"158",0.0866628178963935
"159",0.0033460158513028
"160",0.0745274406575966
"161",0.0161246301309771
"162",0.0115325534746159
"163",0.0400146042813643
"164",0.0216684895340449
"165",0.0119567540277491
"166",0.00612103791616029
"167",0.0134354954089129
"168",0.0184807976778659
"169",0.00074679746871026
"170",0.00442919133262333
"171",0.00353888258493113
"172",0.000756329524206889
"173",0.00165862895686791
"174",0.00423613897604885
"175",0.012105993805811
"176",0.0373382698886565
"177",0.00420014289660872
"178",0.0616981712385176
"179",0.00214171153394462
"180",0.000243068267652956
"181",0.0813858521805766
"182",0.0807584317919893
