"","prob.test2","prob"
"1",0.99999991893688,0.964096930483852
"2",0.999999989476265,0.943219639498335
"3",0.999995114961235,0.95977876432431
"4",0.999999999801307,0.942658037424088
"5",0.999999998017892,0.989713917141234
"6",0.999999998269838,0.93774673314035
"7",0.999999999236269,0.999773119943414
"8",0.998608848979927,0.904791402603476
"9",0.999999945070798,0.879351157689958
"10",0.999999967584379,0.991676046610186
"11",0.999999784929965,0.939373193775855
"12",0.99990684422938,0.960635034127262
"13",0.999425223374846,0.582288637404147
"14",0.999999998509394,0.995313140648364
"15",0.999999990526495,0.8952976856576
"16",0.999999999997904,0.985085537385343
"17",0.999999999993267,0.978159152092448
"18",0.999999728445046,0.996807612246737
"19",0.999992285319666,0.995053550943421
"20",0.999988206379889,0.947292469370494
"21",0.99999932054503,0.976533506077552
"22",0.999999988631797,0.994624152416927
"23",0.999999980748821,0.968720079891147
"24",0.99999996367153,0.994110964393604
"25",0.999999911999795,0.975687499110825
"26",0.9999999960147,0.982819355686085
"27",0.999999874259234,0.941199674197477
"28",0.999999990579443,0.991143734877535
"29",0.999999894960097,0.997785898529783
"30",0.999988210583367,0.992618942860901
"31",0.99999948785604,0.986867156555195
"32",0.999999894051828,0.986994056343966
"33",0.999998796868582,0.915265011563621
"34",0.999999997248459,0.964319170745797
"35",0.999947452157961,0.862206728207468
"36",0.969952450095216,0.765330101496639
"37",0.999999982494601,0.998280922014264
"38",0.999999833466744,0.8202395485184
"39",0.999999952815602,0.93771576125637
"40",0.999999987368268,0.999340013269619
"41",0.999999987820239,0.992137087951568
"42",0.999999733943724,0.893850418129765
"43",0.999999816613921,0.968453283225803
"44",0.999996211378463,0.823199891793815
"45",0.999999954933866,0.944884241853806
"46",0.999993207969344,0.862216083325999
"47",0.99859189784256,0.659370697436247
"48",0.999996656991557,0.972557348368481
"49",0.999999987876372,0.976187173056222
"50",0.99969333007921,0.852665687770556
"51",1.56401093186427e-14,0.000646793261669798
"52",5.70701550307075e-14,0.000517205179456687
"53",5.72206278249017e-12,8.20645908189933e-05
"54",4.07791068056293e-13,0.000542324198549311
"55",3.47211022581992e-16,2.65521133023019e-07
"56",1.2765162946175e-15,7.36063264669276e-08
"57",3.28521671129034e-14,9.31486257359664e-05
"58",8.67705989741826e-13,0.000647633742853738
"59",1.66608924809355e-14,2.48526969992081e-05
"60",1.29699359749364e-15,5.02254587624748e-06
"61",3.61488559031303e-12,7.98172621142812e-05
"62",1.19267567732115e-12,8.18987325333971e-06
"63",1.37317362012642e-19,1.53637721304414e-08
"64",1.81460834790943e-15,6.3659121608732e-05
"65",1.42974152029454e-17,1.47037651339417e-09
"66",3.39187810310418e-19,2.72867911851894e-09
"67",1.94730570951739e-12,0.000403099481279238
"68",1.20787306940436e-17,1.39958693099779e-06
"69",6.16244196115335e-15,0.000170087026664679
"70",1.22786813065362e-15,4.18146839391697e-07
"71",3.8580856010774e-11,3.21071954338982e-05
"72",1.47970692554193e-15,9.65155002762065e-09
"73",7.5658090049929e-20,6.40059337215472e-09
"74",1.13337369258698e-16,8.58008050939853e-07
"75",5.03742898090203e-16,7.49649788524276e-05
"76",2.6586971984028e-15,0.000146045622699983
"77",3.967521518872e-16,2.96446349123573e-08
"78",8.4418869689194e-18,5.2928742615108e-07
"79",8.88274434250935e-17,2.37176391521969e-05
"80",1.89174353689171e-10,0.0022587394904132
"81",7.53734149173968e-16,3.00183318522198e-07
"82",1.34171465512233e-14,0.00206326280897742
"83",1.82582390851185e-16,2.92041552389972e-06
"84",8.37543632320516e-14,0.00028252932529893
"85",1.41563799597152e-14,6.83878466887716e-06
"86",8.31580555413849e-19,1.03092428824511e-08
"87",1.06069172745828e-14,2.24017290861343e-06
"88",1.54840536458331e-14,7.30621443513386e-07
"89",1.93172919861949e-16,8.17751603358663e-07
"90",4.82731972191256e-18,2.98679169141718e-07
"91",4.81582360836878e-15,2.85864438610901e-07
"92",1.3617216682977e-10,0.00228917793087698
"93",3.57222464151616e-13,0.000712287528670783
"94",6.16940076963465e-15,2.19612729146887e-06
"95",5.86998239932286e-14,3.81608927109518e-05
"96",6.77914294702274e-18,6.25645376097885e-08
"97",1.6641566945155e-13,0.00108049730406264
"98",7.48025374064581e-14,0.000571658658389139
"99",9.90628887182815e-16,2.0805962040146e-05
"100",2.165325745508e-15,1.34542242145853e-07
