-11.87362,6.317032,
,,
,,
,,
-11.37078,5.307384,
-11.15129,-14.71156,
-11.11703,-6.761276,
,,
,,
-10.70168,-14.53653,
-10.67149,-6.083233,
-10.50327,-10.88045,
,,
,,
-10.1774,-4.019956,
-9.990438,-1.188104,
-9.763733,-8.915135,
,,
,,
-9.624792,3.156496,
-9.624713,-13.38218,
-9.211988,-17.96974,
,,
,,
,,
-8.127777,-13.71266,
-7.866261,-0.05592287,
-6.942266,-18.16964,
-6.504512,16.47274,
,,
,,
,,
,,
,,
-4.281904,-12.90646,
,,
-4.179716,-6.595275,
-4.151586,-11.71319,
-3.745299,3.812365,
,,
-3.201626,-0.8668383,
,,
,,
-2.996628,-7.328584,
-2.939528,-0.5069008,
-2.628727,0.3321519,
,,
,,
,,
-2.39683,0.7252316,
-2.363989,-8.470473,
-2.311072,-3.474977,
,,
,,
,,
-2.057228,1.780509,
-1.707613,-7.469685,
-1.632847,-13.36086,
,,
,,
,,
-1.23353,-9.60016,
-0.92759,5.770211,
-0.6914831,-7.703195,
-0.6567672,-7.183409,
,,
,,
,,
,,
,,
0.8740747,0.6614268,
0.9157774,-9.356116,
,,
,,
,,
1.161295,-8.976452,
1.766487,7.302727,
,,
,,
,,
,,
,,
3.143462,-13.60938,
3.308637,-3.454564,
3.61867,-13.70535,
,,
,,
4.32156,2.244253,
4.34503,-3.856029,
4.742459,-12.74676,
,,
,,
,,
,,
11.2745,2.795739,
12.65666,3.252363,
12.97163,0.6806608,
