,Data,Data
-1.005582,-9.953795,
,,
,,
,,
-0.8618495,-8.225836,
-0.8183757,-4.76309,
-0.7971011,11.68362,
,,
,,
,,
-0.7145954,-12.3802,
,,
,,
,,
-0.6556806,-5.617096,
-0.6547359,2.665309,
-0.6471921,-10.06913,
-0.6439678,-12.4767,
,,
,,
,,
,,
-0.5147935,-9.075405,
-0.5022802,-13.85682,
-0.4981156,13.43291,
-0.3888068,-12.09449,
-0.3477441,-11.7409,
-0.2603007,-6.5591,
-0.1720109,-10.92539,
,,
,,
,,
-0.02954644,-5.426981,
0.0549651,9.14415,
0.09428718,-11.78041,
,,
,,
,,
0.269095,-10.81264,
0.2935672,-0.09422624,
,,
,,
,,
0.5480695,-13.83861,
0.5887592,13.85804,
0.5962806,1.424675,
0.6419576,-4.714442,
,,
,,
,,
0.769287,10.31865,
0.7827778,-11.87446,
,,
,,
,,
,,
0.921871,-10.5699,
0.923556,-10.90474,
,,
,,
1.205631,-6.383817,
1.2768,-12.58596,
1.49815,3.523101,
1.55038,-2.69122,
1.557122,-10.12987,
1.838027,13.04555,
1.974954,-5.62117,
1.989536,11.60416,
2.05065,-7.947682,
,,
2.441728,2.918189,
2.45318,12.90361,
,,
2.60319,-6.756003,
2.661037,-4.622063,
,,
2.739857,1.357534,
2.777453,-14.90362,
2.805392,-1.479297,
2.833553,0.2298746,
,,
3.162641,-9.64886,
3.164712,2.295706,
3.218556,-3.371578,
3.344052,-1.556943,
3.358673,11.23625,
3.411639,6.934128,
,,
,,
3.587486,-12.35723,
,,
,,
3.826593,-9.290613,
3.912359,-3.533922,
3.962322,11.95445,
4.013057,0.6228234,
,,
,,
,,
4.312871,-3.865465,
4.394326,-3.965431,
4.584078,-6.594504,
4.612272,-8.921582,
4.631934,11.04141,
4.785788,-5.303256,
4.798393,-10.15505,
4.921007,-4.332734,
5.181168,10.83921,
5.294774,-6.127057,
6.047577,0.04282575,
,,
,,
,,
6.997356,-7.003218,
7.019671,0.8391842,
7.46266,-0.2414817,
,,
,,
,,
8.863629,-0.6922426,
9.224528,2.0091,
,,
,,
9.812684,2.848923,
10.00213,-7.270911,
10.35365,2.129451,
10.38179,3.828261,
,,
,,
,,
,,
11.52688,10.52415,
,,
,,
,,
,,
,,
,,
,,
11.83982,3.517008,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
12.38993,3.525087,
13.17383,1.845634,
,,
,,
14.3378,5.924152,
14.33836,5.923497,
15.29205,-7.826588,
