,Data,Data
0.597993,1.890261,
,,
,,
0.6827403,-10.59072,
,,
0.6912108,-15.45531,
0.710458,13.47758,
,,
,,
,,
0.7501776,0.7492606,
,,
,,
0.8110839,14.63339,
,,
,,
,,
0.9390507,-9.424653,
0.9577491,-3.535209,
,,
,,
1.044425,12.89632,
1.057967,0.3301723,
,,
,,
,,
1.169662,-5.479771,
,,
,,
,,
1.268558,-6.433917,
,,
1.310895,-1.702592,
,,
,,
1.324851,12.28659,
1.329099,3.594156,
,,
,,
1.426746,0.1818434,
,,
,,
1.452144,-2.483564,
,,
1.461163,-8.659239,
1.463773,-2.523224,
,,
,,
1.500422,-10.70191,
,,
1.51802,-1.359225,
1.536648,-2.340523,
,,
1.581756,0.5538983,
,,
,,
1.649892,-12.10652,
1.670764,-16.4891,
1.68813,14.33278,
,,
,,
1.817755,-9.354854,
,,
1.880085,-0.4602568,
1.880764,12.99576,
,,
1.925216,-10.19715,
,,
2.04017,3.266189,
,,
2.095409,11.7651,
,,
2.153691,0.872499,
2.169888,-2.682014,
,,
2.227473,2.150006,
2.238379,11.91488,
2.270648,4.011259,
,,
2.371987,-9.624777,
2.457829,3.055348,
,,
2.496436,-12.53382,
2.515096,-8.792233,
,,
2.548503,-0.326778,
2.725497,13.15097,
2.753704,3.712914,
2.77632,-5.172673,
2.802646,-10.06293,
,,
,,
2.931973,3.131203,
,,
2.946825,-7.47569,
2.982708,12.67462,
,,
,,
3.086708,-6.62218,
,,
,,
3.222932,11.5744,
3.271125,-1.581561,
,,
3.322509,-10.86664,
3.332488,-1.581048,
3.34394,11.47966,
,,
3.355801,0.5951624,
3.450665,-8.580235,
,,
,,
,,
3.614234,-11.70883,
,,
3.845613,-0.3462838,
3.904745,-9.024877,
,,
4.05784,4.655334,
4.066616,-4.712227,
4.083726,1.720679,
,,
,,
,,
4.229751,-2.425025,
4.394794,9.420498,
,,
4.603157,-11.93723,
4.650347,10.98884,
4.741963,-9.995465,
4.747602,6.645554,
,,
,,
4.891781,-2.449157,
4.930154,0.4713737,
5.001679,-7.444705,
,,
5.120312,-11.76791,
5.121907,-7.996297,
5.141278,10.98995,
5.190832,-15.53094,
,,
,,
,,
5.320848,-1.202677,
5.351295,-6.080888,
5.360183,-4.676394,
5.55018,4.012474,
,,
5.624973,-1.877249,
5.650712,-0.4762309,
5.666188,11.3042,
5.774996,1.400517,
,,
5.854066,5.278171,
5.86811,-8.863069,
5.945191,-1.44594,
,,
,,
6.013777,-5.11655,
6.055552,-10.53129,
,,
6.158021,-1.369346,
,,
6.221956,4.806631,
6.232508,-9.832895,
6.241527,-0.8890243,
6.249835,10.17212,
6.263249,-11.39291,
,,
,,
6.367738,5.558814,
6.376435,-1.454465,
,,
6.557158,-0.4765612,
,,
,,
,,
,,
6.913165,4.396319,
,,
,,
6.959528,-1.506497,
6.976442,-2.539468,
,,
,,
7.149467,-9.377761,
7.16367,-6.903369,
7.164271,8.966126,
,,
7.310624,11.23891,
,,
7.394837,9.103509,
,,
,,
,,
7.6013,-0.8116347,
7.606563,4.957426,
,,
7.646369,-8.295102,
,,
,,
,,
,,
7.788178,10.0068,
,,
,,
,,
,,
7.994529,9.122011,
,,
,,
8.269725,-6.93425,
,,
8.359117,-10.79016,
8.364388,9.449797,
8.405175,-1.986593,
,,
8.735274,-5.299517,
8.748174,6.763419,
,,
,,
8.857203,9.606268,
,,
,,
9.27167,7.458839,
,,
,,
9.466382,-2.736679,
9.47678,8.892015,
,,
,,
9.585258,-8.572136,
,,
9.595819,11.41528,
,,
,,
9.664038,6.951676,
,,
,,
,,
,,
9.850985,-1.437717,
9.939863,9.973764,
9.981592,5.952197,
,,
,,
10.21049,-6.555278,
10.23574,11.09667,
,,
,,
10.3713,8.211251,
,,
,,
10.52452,-1.350866,
10.59073,8.784248,
,,
,,
,,
,,
10.6608,7.905543,
10.69138,0.9136341,
10.73318,8.323276,
,,
,,
,,
,,
10.93823,9.463318,
,,
,,
11.16907,7.669027,
,,
,,
,,
,,
,,
,,
11.46737,1.507617,
,,
,,
11.89311,7.623631,
,,
,,
11.96129,10.84027,
11.99412,0.9005542,
12.05843,1.376714,
,,
,,
,,
,,
,,
,,
,,
,,
,,
12.20272,8.681922,
,,
,,
12.28055,10.88754,
,,
,,
,,
,,
12.38284,9.180193,
,,
,,
