type,TS,row,col
sfp_2,1,D,16
sfp_2,1,D,17
sfp_2,1,D,18
sfp_2,1,D,20
sfp_2,1,D,22
sfp_2,1,D,23
sfp_2,1,D,24
sfp_2,1,D,26
sfp_2,1,D,28
sfp_2,1,D,30
sfp_2,1,E,2
sfp_2,1,E,3
sfp_2,1,E,4
sfp_2,1,E,6
sfp_2,1,E,8
sfp_2,1,E,10
sfp_2,1,E,12
sfp_2,1,E,14
sfp_2,1,E,16
sfp_2,1,E,20
sfp_2,1,E,22
sfp_2,1,E,26
sfp_2,1,E,28
sfp_2,1,E,30
sfp_2,1,F,1
sfp_2,1,F,2
sfp_2,1,F,3
sfp_2,1,F,4
sfp_2,1,F,6
sfp_2,1,F,8
sfp_2,1,F,10
sfp_2,1,F,12
sfp_2,1,F,13
sfp_2,1,F,14
sfp_2,1,F,16
sfp_2,1,F,18
sfp_2,1,F,20
sfp_2,1,F,22
sfp_2,1,F,24
sfp_2,1,F,25
sfp_2,1,F,28
sfp_2,1,F,29
sfp_2,1,F,30
sfp_2,1,G,2
sfp_2,1,G,3
sfp_2,1,G,4
sfp_2,1,G,6
sfp_2,1,G,8
sfp_2,1,G,10
sfp_2,1,G,11
sfp_2,1,G,12
sfp_2,1,G,14
sfp_2,1,G,15
sfp_2,1,G,16
sfp_2,1,G,19
sfp_2,1,G,20
sfp_2,1,G,22
sfp_2,1,G,23
sfp_2,1,G,24
sfp_2,1,G,25
sfp_2,1,G,26
sfp_2,1,G,28
sfp_2,1,G,30
sfp_2,1,H,2
sfp_2,1,H,4
sfp_2,1,H,7
sfp_2,1,H,8
sfp_2,1,H,10
sfp_2,1,H,12
sfp_2,1,H,13
sfp_2,1,H,14
sfp_2,1,H,15
sfp_2,1,H,18
sfp_2,1,H,20
sfp_2,1,H,24
sfp_2,1,H,26
sfp_2,1,H,27
sfp_2,1,H,30
sfp_2,1,I,1
sfp_2,1,I,2
sfp_2,1,I,4
sfp_2,1,I,6
sfp_2,1,I,8
sfp_2,1,I,10
sfp_2,1,I,11
sfp_2,1,I,12
sfp_2,1,I,14
sfp_2,1,I,18
sfp_2,1,I,19
sfp_2,1,I,22
sfp_2,1,I,24
sfp_2,1,I,26
sfp_2,1,I,28
sfp_2,1,I,29
sfp_2,1,J,2
sfp_2,1,J,4
sfp_2,1,J,6
sfp_2,1,J,8
sfp_2,1,J,12
sfp_2,1,J,14
sfp_2,1,J,16
sfp_2,1,J,18
sfp_2,1,J,20
sfp_2,1,J,22
sfp_2,1,J,26
AcpS_2,1,B,6
AcpS_2,1,B,10
AcpS_2,1,B,14
AcpS_2,1,B,15
AcpS_2,1,B,16
AcpS_2,1,B,17
AcpS_2,1,B,27
AcpS_2,1,B,28
AcpS_2,1,B,30
AcpS_2,1,C,1
AcpS_2,1,C,2
AcpS_2,1,C,3
AcpS_2,1,C,4
AcpS_2,1,C,5
AcpS_2,1,C,6
AcpS_2,1,C,7
AcpS_2,1,C,8
AcpS_2,1,C,9
AcpS_2,1,C,10
AcpS_2,1,C,11
AcpS_2,1,C,12
AcpS_2,1,C,13
AcpS_2,1,C,14
AcpS_2,1,C,16
AcpS_2,1,C,21
AcpS_2,1,C,22
AcpS_2,1,C,23
AcpS_2,1,C,24
AcpS_2,1,C,25
AcpS_2,1,C,26
AcpS_2,1,C,28
AcpS_2,1,C,30
AcpS_2,1,D,2
AcpS_2,1,D,4
AcpS_2,1,D,6
AcpS_2,1,D,7
AcpS_2,1,D,9
AcpS_2,1,D,10
AcpS_2,1,D,12
AcpS_2,1,D,14
AcpS_2,1,D,16
AcpS_2,1,D,17
AcpS_2,1,D,22
AcpS_2,1,D,23
AcpS_2,1,D,26
AcpS_2,1,D,28
AcpS_2,1,E,2
AcpS_2,1,E,3
AcpS_2,1,E,4
AcpS_2,1,E,6
AcpS_2,1,E,10
AcpS_2,1,E,12
AcpS_2,1,E,13
AcpS_2,1,E,14
AcpS_2,1,E,20
AcpS_2,1,E,22
AcpS_2,1,E,30
AcpS_2,1,F,2
AcpS_2,1,F,3
AcpS_2,1,F,6
AcpS_2,1,F,8
AcpS_2,1,F,12
AcpS_2,1,F,13
AcpS_2,1,F,22
AcpS_2,1,F,23
AcpS_2,1,F,24
AcpS_2,1,F,25
AcpS_2,1,F,30
AcpS_2,1,G,2
AcpS_2,1,G,3
AcpS_2,1,G,6
AcpS_2,1,G,8
AcpS_2,1,G,10
AcpS_2,1,G,11
AcpS_2,1,G,12
AcpS_2,1,G,14
AcpS_2,1,G,15
AcpS_2,1,G,19
AcpS_2,1,G,20
AcpS_2,1,G,23
AcpS_2,1,G,24
AcpS_2,1,G,25
AcpS_2,1,G,26
AcpS_2,1,G,30
AcpS_2,1,H,2
AcpS_2,1,H,4
AcpS_2,1,H,7
AcpS_2,1,H,8
AcpS_2,1,H,10
AcpS_2,1,H,22
AcpS_2,1,H,24
AcpS_2,1,H,26
AcpS_2,1,I,2
AcpS_2,1,I,6
AcpS_2,1,I,10
AcpS_2,1,I,12
AcpS_2,1,I,13
AcpS_2,1,I,19
AcpS_2,1,I,21
AcpS_2,1,I,22
AcpS_2,1,I,24
AcpS_2,1,J,2
AcpS_2,1,J,4
AcpS_2,1,J,6
AcpS_2,1,J,12
AcpS_2,1,J,16
AcpS_2,1,J,18
AcpS_2,1,J,22
sfp_1,2,A,26
sfp_1,2,A,30
sfp_1,2,B,10
sfp_1,2,B,12
sfp_1,2,B,22
sfp_1,2,C,2
sfp_1,2,C,3
sfp_1,2,C,22
sfp_1,2,C,24
sfp_1,2,D,2
sfp_1,2,D,3
sfp_1,2,D,7
sfp_1,2,D,8
sfp_1,2,D,14
sfp_1,2,D,22
sfp_1,2,E,3
sfp_1,2,E,8
sfp_1,2,E,9
sfp_1,2,E,13
sfp_1,2,E,21
sfp_1,2,E,23
sfp_1,2,E,26
sfp_1,2,E,27
sfp_1,2,F,3
sfp_1,2,F,8
sfp_1,2,F,9
sfp_1,2,F,14
sfp_1,2,F,15
sfp_1,2,F,16
sfp_1,2,F,19
sfp_1,2,F,20
sfp_1,2,F,22
sfp_1,2,F,27
sfp_1,2,G,1
sfp_1,2,G,3
sfp_1,2,G,7
sfp_1,2,G,16
sfp_1,2,G,23
sfp_1,2,H,3
sfp_1,2,H,7
sfp_1,2,H,10
sfp_1,2,H,15
sfp_1,2,H,27
sfp_1,2,I,4
sfp_1,2,I,5
sfp_1,2,I,6
sfp_1,2,I,16
sfp_1,2,I,17
sfp_1,2,I,22
sfp_1,2,I,25
sfp_1,2,I,26
sfp_1,2,J,3
sfp_1,2,J,4
sfp_1,2,J,9
sfp_1,2,J,10
sfp_1,2,J,15
sfp_1,2,J,16
sfp_1,2,J,18
sfp_1,2,J,24
sfp_1,2,J,25
sfp_1,2,J,28
sfp_1,2,J,29
sfp_1,2,J,30
sfp_1,2,K,2
sfp_1,2,K,3
sfp_1,2,K,6
sfp_1,2,K,15
sfp_1,2,K,18
sfp_1,2,K,19
sfp_1,2,K,20
sfp_1,2,K,21
sfp_1,2,K,28
sfp_1,2,L,1
sfp_1,2,L,4
sfp_1,2,L,6
sfp_1,2,L,7
sfp_1,2,L,9
sfp_1,2,L,13
sfp_1,2,L,15
sfp_1,2,L,16
sfp_1,2,L,17
sfp_1,2,L,18
sfp_1,2,L,26
sfp_1,2,L,28
sfp_1,2,L,29
sfp_1,2,M,1
sfp_1,2,M,3
sfp_1,2,M,12
sfp_1,2,M,17
sfp_1,2,M,18
sfp_1,2,M,19
sfp_1,2,M,20
sfp_1,2,M,21
sfp_1,2,N,1
sfp_1,2,N,3
sfp_1,2,N,9
sfp_1,2,N,15
sfp_1,2,N,18
sfp_1,2,N,19
sfp_1,2,N,28
sfp_1,2,O,1
sfp_1,2,O,3
sfp_1,2,O,21
sfp_1,2,O,22
sfp_1,2,O,24
sfp_1,2,O,27
sfp_1,2,O,30
sfp_1,2,P,8
sfp_1,2,P,9
sfp_1,2,P,15
sfp_1,2,P,22
sfp_1,2,P,23
sfp_1,2,P,24
sfp_1,2,Q,3
sfp_1,2,Q,5
sfp_1,2,Q,6
sfp_1,2,Q,7
sfp_1,2,Q,13
sfp_1,2,Q,14
sfp_1,2,Q,15
sfp_1,2,Q,16
sfp_1,2,Q,20
sfp_1,2,Q,27
sfp_1,2,Q,28
sfp_1,2,Q,29
sfp_1,2,R,1
sfp_1,2,R,4
sfp_1,2,R,6
sfp_1,2,R,9
sfp_1,2,R,12
sfp_1,2,R,15
sfp_1,2,R,16
sfp_1,2,R,30
sfp_1,2,S,1
sfp_1,2,S,3
sfp_1,2,S,6
sfp_1,2,S,7
sfp_1,2,S,8
sfp_1,2,S,9
sfp_1,2,S,10
sfp_1,2,S,12
sfp_1,2,S,13
sfp_1,2,S,16
sfp_1,2,S,19
sfp_1,2,S,24
sfp_1,2,S,25
sfp_1,2,T,1
sfp_1,2,T,2
sfp_1,2,T,3
sfp_1,2,T,9
sfp_1,2,T,10
sfp_1,2,T,15
sfp_1,2,T,18
sfp_2,2,A,24
sfp_2,2,A,26
sfp_2,2,A,28
sfp_2,2,A,30
sfp_2,2,B,10
sfp_2,2,B,12
sfp_2,2,B,20
sfp_2,2,B,21
sfp_2,2,B,22
sfp_2,2,B,25
sfp_2,2,C,3
sfp_2,2,C,10
sfp_2,2,C,22
sfp_2,2,D,7
sfp_2,2,D,15
sfp_2,2,E,3
sfp_2,2,E,8
sfp_2,2,E,9
sfp_2,2,E,13
sfp_2,2,E,15
sfp_2,2,E,26
sfp_2,2,F,3
sfp_2,2,F,8
sfp_2,2,F,9
sfp_2,2,F,14
sfp_2,2,F,16
sfp_2,2,F,27
sfp_2,2,G,1
sfp_2,2,G,5
sfp_2,2,G,10
sfp_2,2,G,11
sfp_2,2,G,16
sfp_2,2,H,3
sfp_2,2,H,7
sfp_2,2,H,10
sfp_2,2,H,15
sfp_2,2,H,21
sfp_2,2,H,23
sfp_2,2,H,27
sfp_2,2,H,28
sfp_2,2,I,3
sfp_2,2,I,4
sfp_2,2,I,5
sfp_2,2,I,13
sfp_2,2,I,16
sfp_2,2,I,25
sfp_2,2,J,1
sfp_2,2,J,3
sfp_2,2,J,9
sfp_2,2,J,13
sfp_2,2,J,24
sfp_2,2,J,25
sfp_2,2,J,28
sfp_2,2,J,30
sfp_2,2,K,2
sfp_2,2,K,3
sfp_2,2,K,6
sfp_2,2,K,18
sfp_2,2,K,19
sfp_2,2,K,20
sfp_2,2,K,28
sfp_2,2,L,1
sfp_2,2,L,2
sfp_2,2,L,4
