"pool","mutate","predict_optimize"
0.00611427979406087,0.000317286814867036,0.00453115156483099
0.01258995131943,0.00110775639140805,0.0064571999798826
0.0156929223242914,0.00155297058999837,0.00730650343357999
0.020092584517623,0.00157064478058133,0.00791978211098312
0.0212940603871394,0.00163570321856272,0.00832735633542049
0.0248390097223318,0.00164025531174177,0.00863259408487471
0.0281251745513363,0.00164316934681718,0.0087590304208676
0.0296519745418097,0.00272601480154257,0.00887817291023843
0.0308236740657756,0.00306923796540956,0.00892288096308876
0.0338400473002327,0.00307380229311825,0.00894512100760755
0.0367781281897965,0.00307676859911898,0.00896629530724477
0.0383219032336538,0.003287766439009,0.00898103888472403
0.0390928073403767,0.00345885062842611,0.00899151710069901
0.0421050570611252,0.0034882833386235,0.00899972777932445
0.0436577654157267,0.00349049309472865,0.00901859398440548
0.0449360626747112,0.00349162198207399,0.0090250936342776
0.0458426861607347,0.00366147260843245,0.00902872324958931
0.0516518279559175,0.00451998941445376,0.00903046207744113
0.0519898274953951,0.00459509444440102,0.0090317701682939
0.0527889724072175,0.00471389134094483,0.00903268391085458
0.0550516960996164,0.00471569434108624,0.00903423732400189
0.0552040341698968,0.00524054017470744,0.00903459384137644
0.0569468492879913,0.00526387290137465,0.00903486643725997
0.0577959092492378,0.0052667794680277,0.00903515728982944
0.0581342908224808,0.00579660659528074,0.0090354815689255
0.0595686673362152,0.00587546714789815,0.0090356236184668
0.0599291427148873,0.00587675097597598,0.0090357478726445
0.0612562074645512,0.00861339099137679,0.00903584463282694
0.0616447267990569,0.00861479148961687,0.00903593685828647
0.0625231047194256,0.00870297927765768,0.00903600056625045
0.0630483036698155,0.00875342327418233,0.00903603958471277
0.0636488738092832,0.00875476060608521,0.00903608549008834
0.0643264734924549,0.00882319508297632,0.00903611846053381
0.0645080668412473,0.00890580740624303,0.00903616355568657
0.0678735091233066,0.00890855250263693,0.00903618004895034
0.0679330169411546,0.00891127314430532,0.00903620242514673
0.0681196961521581,0.00923084430264388,0.00903621325643901
0.0684779981535803,0.00934497150681258,0.00903622696080396
0.068532443166104,0.00934629895055608,0.00903624504284859
0.0690473988798733,0.00934717024709897,0.00903625371852881
0.069207668483072,0.00940405679080802,0.00903625836728432
0.075173534987384,0.0094260197333513,0.00903626510543353
0.0752069775309873,0.00946052417418033,0.00903626977611381
0.0753897895835419,0.00951260174549377,0.00903627423034945
0.0764271133220325,0.00951450116543092,0.00903627908140713
0.0765108822469409,0.00952681857357777,0.00903628648077132
0.0767549507346598,0.00963636862968339,0.00903628942653602
0.0771559812746796,0.00970659195382831,0.0090362911856676
0.077288258628599,0.011243869982542,0.00903629302887341
0.0778205338650297,0.0112444354448472,0.00903629443155286
0.0780042135232235,0.0112465005270086,0.00903629621737456
0.0782209123422565,0.0112824969289088,0.00903629708305103
0.0784769615634571,0.011332340764039,0.00903629810887463
0.0790187010652666,0.0113430163588161,0.00903629887220361
0.079037214401329,0.0148015928376099,0.00903629959793777
0.0792401486948061,0.0150620207356033,0.00903630022411239
0.0793241016510135,0.0150657251665496,0.00903630074760228
0.0793975618332208,0.0150946711923937,0.00903630105980445
0.0798750223426416,0.0153319070101629,0.00903630148134092
0.0799255769922553,0.015394850080037,0.00903630184028299
0.080212662335494,0.0154444761716042,0.00903630207596262
0.0802390972944694,0.0154526864841203,0.00903630244758984
0.0803720901861318,0.0154531338149488,0.00903630273529036
0.0805484114893443,0.0155406249753468,0.00903630291302889
0.0805871215322773,0.0155865263225159,0.00903630309950037
0.0808345528327786,0.015644724530364,0.00903630321596365
0.0809017005810093,0.0156499285796265,0.009036303370221
0.0812622030357094,0.0156695018280375,0.00903630347764726
0.0813624563040175,0.0156712011207462,0.00903630362629672
0.0815072430124385,0.0156730383480781,0.00903630372545446
0.0817014770071856,0.0186958164591106,0.00903630382840271
0.0817603138360358,0.0270771177442553,0.00903630395315167
0.0819304464132752,0.0305619574405179,0.00903630408159205
0.0820939618673982,0.0306081896471732,0.00903630413836327
0.0821092785021056,0.0306245294408128,0.00903630420104658
0.0821559194717842,0.0306329670234947,0.0090363042745121
0.0821775964138754,0.030699595309404,0.00903630431924144
0.0822654183535632,0.0307321904156239,0.00903630437187421
0.0826348530927903,0.0307335917119362,0.00903630441893831
0.0833219043249249,0.0308059596379262,0.00903630445163993
0.0837886260302494,0.0308079322086904,0.00903630448781416
0.0838691931387428,0.0308166748963712,0.00903630451268929
0.0838755265987433,0.032687533516707,0.00903630454650613
0.0839885032686022,0.032688695101997,0.0090363045767024
0.0852812225482519,0.0339879183143831,0.00903630459424532
0.0853856304984181,0.0339982960641938,0.00903630461268138
0.0855243082410583,0.0340333447852181,0.00903630463471972
0.0858156873704316,0.0340377229663384,0.009036304649073
0.0858749250930416,0.0340383898549369,0.00903630466470419
0.0859301605582654,0.0345801545623999,0.00903630467695357
0.0860962315248818,0.0345851040626623,0.00903630469156721
0.0863472076348811,0.034602679161775,0.00903630471015573
0.0863991321052777,0.0346048855129809,0.00903630471903066
0.0864525736556074,0.0346307302322023,0.00903630472853879
0.0866149284853473,0.0347282624765231,0.00903630474109889
0.0866481052211145,0.0347571746955513,0.00903630474927439
0.08667583528522,0.0348174537513547,0.00903630475968943
0.0867351832209337,0.0350370122092396,0.0090363047678436
0.0867949005204416,0.0350441877419824,0.00903630477221233
0.0868210942338205,0.0351534125941323,0.00903630477867157
