x,y
-55.324707,-9.263763
-43.42388,-6.6803145
-10.0268545,22.63911
-8.344319,24.182144
-12.532703,23.85835
-13.961638,5.0681357
-11.390536,22.04326
-10.006077,19.90957
-11.324396,18.065025
-17.559673,19.537512
-6.5410337,18.543
-13.957942,23.569675
-9.396554,9.428576
-9.095774,15.740999
-6.072274,14.8550205
-8.08715,20.739305
-19.809639,5.086426
-14.371694,16.598211
-16.129757,21.38925
-18.504038,4.507001
-23.984901,13.655069
-7.6846075,18.827177
-10.37803,12.950253
-22.298395,5.828867
-8.940418,24.29306
-12.335713,15.610323
-11.2279005,5.919049
-17.593763,19.46346
1.8178568,18.043028
-13.356293,11.254056
-12.770965,22.775867
-8.680913,8.425444
-11.850786,16.413301
-8.623994,17.329891
-22.270008,-2.0097604
-22.760654,9.889673
-8.993843,10.785
-20.226313,13.102311
-13.349778,20.80349
-12.416386,15.484885
-24.497854,12.866817
-7.916435,11.226305
-9.599447,17.95926
-13.365719,13.880417
-17.62518,19.586426
-5.0889516,17.823856
-12.441613,12.5459795
-11.406296,14.081461
-15.031756,13.501038
-10.4388,15.670855
-14.291296,16.923506
4.4702115,13.739023
-18.869404,12.758112
-15.211896,2.44273
-10.143781,14.13124
5.378095,21.801355
-9.291021,11.912525
-23.354387,8.389093
-4.2074275,-12.276674
-5.948263,5.999823
-12.751382,6.707702
2.6856568,-16.236431
-49.508076,-5.3424363
-5.7032585,3.527276
-14.816431,16.31068
-4.790836,10.470478
-12.620493,3.5133367
-8.848341,-4.115582
-0.50021464,6.893042
-10.015881,16.781116
-21.25485,4.5449257
-6.872626,3.676719
-8.030009,-0.9145447
-12.074199,8.033181
-7.1759624,13.491914
-2.321253,-15.861098
-5.461794,2.072692
-2.0150282,-2.7292717
-4.6918077,5.6716714
1.5341271,-15.615559
4.3113184,-20.089636
-8.325144,21.34636
10.337142,-11.017836
-8.100941,4.560678
-7.1347017,7.436611
9.677498,2.292141
8.41673,12.983903
-1.0990332,-13.678946
0.6511775,14.046338
-5.67499,4.4151344
-8.425287,-3.8450248
-4.019946,-12.239246
10.362343,1.4928454
6.415425,-5.354937
6.749884,9.208466
7.849658,-12.55915
2.528612,22.348366
10.305711,-20.981026
5.1326575,3.4063385
-3.7474997,7.0364866
11.502487,-26.413307
