x,y
-46.726574,-16.023926
-6.5508814,-19.425549
-49.037384,-16.356823
-5.003807,-19.601965
-6.732317,-21.030386
-4.404016,-17.542118
-6.534453,-20.884876
-4.7888694,-20.171997
-1.2258489,-19.265324
-3.6018333,-19.110867
-5.502905,-14.379163
-1.0065434,-20.70269
-4.1905775,-19.919783
-2.1190424,-22.804632
-4.6006417,-17.135904
-5.4649706,-14.3831625
-1.3871846,-20.84916
0.14715405,-19.307034
-2.5092816,-21.834675
-0.5834674,-19.211166
-1.2709637,-11.82082
-1.1221988,-20.04871
-2.4266295,-22.136078
2.9161484,-13.098451
16.7309,-17.866005
3.4575071,-19.96094
0.53773946,-11.649015
9.85014,-21.046219
10.024594,-14.703574
12.857395,-7.378174
13.164464,-13.039315
2.3400106,-21.096096
10.784805,-14.184888
5.886567,-17.945776
9.5513115,-16.315317
10.163279,-13.56248
14.098639,-6.962401
13.296353,-10.785573
14.965631,-11.977387
3.7239141,-20.55415
7.392358,-16.375023
17.28458,-13.252833
13.953882,-14.472393
10.495025,-7.731534
15.2434,-9.355999
3.4295983,-22.270256
14.217511,-13.43221
8.568662,-21.607136
13.48049,-10.8240795
1.8189734,-10.125233
15.137088,-16.853344
7.915807,-17.537806
8.213022,-12.676788
6.706592,-14.215971
-0.529395,-20.160786
9.780645,-12.27441
2.0981178,-22.385359
10.90964,-11.980474
11.621138,-12.147335
12.057906,-16.159626
10.419403,-12.811915
3.5333292,-13.147383
12.207083,-14.7122
7.1956124,-8.314737
13.174402,-3.9705963
12.417319,-18.997255
11.559644,-2.1727803
16.097189,-15.186412
-4.025207,-7.301607
7.2524233,-14.255808
3.9571066,-22.75465
4.1798677,-12.068849
0.307305,-15.1747465
12.78248,-13.639522
11.000179,-12.284118
14.598935,-2.7587292
11.389358,-9.16265
6.8993473,-17.460348
8.800417,-13.696151
10.872284,-19.48162
10.348853,-3.1607718
14.730995,-19.156792
8.489774,-14.86927
-1.9143611,-2.3102653
14.1154175,-11.495091
3.277913,-5.618353
10.672191,5.8525596
13.942588,6.6848125
4.386791,-10.273802
8.776099,-7.504693
12.7743635,-0.49068585
2.951782,-2.1649938
9.6358595,-1.5864288
14.64246,-4.752553
5.44733,-11.718613
13.423606,-1.6105363
18.725052,-11.399649
15.536069,-10.646507
0.7913779,-22.643688
0.49519587,-6.6315494
-3.5874307,-7.359733
4.4743376,-8.143178
