"","x"
"1",0.022507692950582
"2",0.0240964790669927
"3",0.0600347466429084
"4",0.110176052391699
"5",0.00749516617915457
"6",0.00982002883037466
"7",0.123281792980188
"8",0.0020640938658146
"9",0.0188809116009066
"10",0.00632584086145457
"11",0.0226985241716623
"12",0.000716884835945812
"13",0.000738472356329691
"14",0.0140571016286491
"15",0.0052154102888126
"16",0.0124213541839994
"17",0.0259769624077018
"18",0.0047036397063888
"19",0.00288958454910908
"20",0.00652664511640059
"21",0.000200105188660994
"22",0.0192151173923837
"23",0.00489520679005417
"24",0.0146314309951489
"25",0.000334546400468364
"26",0.00108072716263352
"27",0.00278670361833073
"28",0.0149193202389813
"29",0.00229061660256646
"30",0.00377086813630945
"31",4.4739120525485e-06
"32",0.00104754904524525
"33",0.000867027442318408
"34",0.00264243196213165
"35",0.000369438725684891
"36",0.0128810417607275
"37",0.0286919252920229
"38",0.000874865022736959
"39",0.00407200661701701
"40",0.0670167896596768
"41",0.000713399910487776
"42",0.0238482699448918
"43",0.0354155337873623
"44",0.0184190274034905
"45",0.0170919400697335
"46",0.00105121374190317
"47",0.0099950546219646
"48",0.0666679996280605
"49",0.000359223891657502
"50",0.00259059197311238
"51",0.0534872903436656
"52",0.0282550111668795
"53",0.015523021038443
"54",0.0318953269632797
"55",0.00706878784048645
"56",0.00594796408819536
"57",0.00861469922210508
"58",4.92157253684697e-06
"59",0.000189318135306361
"60",0.104969366221354
"61",0.00307460620120978
"62",0.000319219717197067
"63",0.0327228332648538
"64",0.00118316278626364
"65",0.00830312781083515
"66",0.12386250725494
"67",0.00190404402221254
"68",0.000112481137588423
"69",0.00665436860557293
"70",0.0177280957466233
"71",3.74142906667783e-05
"72",0.000126422811516475
"73",0.0517595696195136
"74",0.112362751923077
"75",0.0219076734936513
"76",0.0747733774641695
"77",0.12432120846491
"78",0.18958934332285
"79",0.00296167234469525
"80",0.0032442692619503
"81",0.00540502793855498
"82",0.008522578220947
"83",0.00294935277795173
"84",0.0189323572308692
"85",0.000942805783605
"86",0.0442322763541483
"87",0.000733545058493212
"88",0.0775081584574379
"89",0.0296048062203084
"90",0.108709969785083
"91",0.000540160618663121
"92",0.410451098623899
"93",0.00195641655898704
"94",0.0102993158664141
"95",0.136890841848548
"96",9.46337182710177e-05
"97",0.0102806018550897
"98",0.00164638264591353
"99",0.0155047435587276
"100",0.0374487896693665
"101",0.00744717713700241
"102",0.0135014336793713
"103",0.0479460566660522
"104",0.00107340518020116
"105",0.106905281924061
"106",0.000944100099758947
"107",2.20305636577537e-05
"108",0.000104759699695994
"109",0.005362121056772
"110",0.00433400931371746
"111",0.00209630846488627
"112",0.00352247155780338
"113",0.0439213204666664
"114",5.89261179593586e-05
"115",8.77531946710878e-05
"116",0.0845677251251565
"117",0.0158492069939742
"118",5.13622878280257e-05
"119",0.00366046178088023
"120",0.0598948111524163
"121",0.00864518935244509
"122",0.00423637086506385
"123",0.0359565503665687
"124",0.000161401603849892
"125",0.0367523398692235
"126",0.0240333632285147
"127",0.0872974998611005
"128",0.00375785116160073
"129",0.0384784994693748
"130",0.0132601417679985
"131",0.000626003645713283
"132",0.000709126397953718
"133",0.0118832933566691
"134",0.0229663686790361
"135",0.00275408048904599
"136",0.0966015827358363
"137",0.0370441787440016
"138",0.0169967729410132
"139",0.0281323263200715
"140",0.000855002321348256
"141",0.0124175060311297
"142",0.0132134345610124
"143",0.0859675407210292
"144",0.0120616408802936
"145",0.0189107304599176
"146",0.0217703355664825
"147",0.148600586818324
"148",0.0411507526506062
"149",0.00484428997948285
"150",0.0566956761279686
"151",0.00549683569625534
"152",4.57406846431769e-05
"153",0.000378909833868241
"154",0.0352826202400193
"155",0.0238631791792255
"156",0.000225018496739898
"157",0.00572544190763727
"158",0.000364179077217537
"159",0.00212227579272097
"160",0.0674569786314561
"161",0.00389080222347983
"162",0.00760100641861515
"163",1.26151950533584e-06
"164",0.0387510500885197
"165",0.00126843487031661
"166",0.00107942147658962
"167",0.00477946653904394
"168",0.0810709126068689
"169",0.006904663112347
"170",0.198162391136183
"171",0.00384372943369657
"172",0.016906825464952
"173",0.00576856027094327
"174",0.00603813326764299
"175",0.0491319095922755
"176",0.0459849987662672
"177",0.00420671178615837
"178",0.0196200723740651
"179",0.000452444154123674
"180",0.0073397341542105
"181",0.00859955710035199
"182",0.0052648025234383
"183",0.0174462500225634
"184",0.000220944426716229
"185",7.0822630400399e-05
"186",0.000179364136071304
"187",0.0550069794075444
"188",0.0133252304030711
"189",0.00851313640431335
"190",0.00727839433568775
"191",0.0414237818615145
"192",0.0418682141357832
"193",0.000169115183365918
"194",0.00637979695418812
"195",0.00603084057761735
"196",0.000183454600706875
"197",0.0247955283022438
"198",0.00904775151384154
"199",0.00535296158724301
"200",0.00033891801891645
"201",0.0111241271969286
"202",0.00114703501761166
"203",0.00255298394045771
"204",0.00321185996686755
"205",0.000944850471246491
"206",0.00843096459247609
"207",0.0858090248297928
"208",0.00772428801508387
"209",0.118875342784435
"210",0.213238523038261
"211",0.0668307141794592
"212",0.0395843059296265
"213",0.0109363885614673
"214",8.34991706708347e-05
"215",0.0027444700135359
"216",0.014599184878926
"217",0.0416494709507118
"218",0.000479623814526206
"219",0.00349184967922459
"220",0.00490005776439361
"221",0.000242217179597344
"222",0.000608465105925814
"223",0.00480522286515368
"224",0.349070582937395
"225",0.0385924694496425
"226",0.0105737959500884
"227",0.0108497821457844
"228",0.0337195858254398
"229",0.0287187461557818
"230",0.0315084933632548
"231",0.00745315043369931
"232",0.00359625434222365
"233",0.00346119742270942
"234",0.00906451979824428
"235",0.0792905490093326
"236",0.000442797673865736
"237",0.00024235315995112
"238",0.00521218982792154
"239",0.00197699282518903
"240",0.0183530525973626
"241",0.00665609191771436
"242",0.0101561069768313
"243",0.00395499191242624
"244",0.0339009222215958
"245",0.00853190406036787
"246",0.0164614914166656
"247",0.000477356219312154
"248",0.0337924990890017
"249",0.0026145225161301
"250",0.0189623051104947
"251",0.0191642997268861
"252",0.0530120261301106
"253",0.00194057390502022
"254",0.0145435049177489
"255",0.0809706100367815
"256",0.000242378108317138
"257",0.000734334757657297
"258",0.000593300153533131
"259",0.000313147461143273
"260",0.011248662862809
"261",8.33029346158019e-05
"262",0.00121511879928296
"263",0.00792155962852663
"264",0.0149074507078096
"265",0.0147563114064267
"266",0.000859459616237314
"267",2.86493944699956e-07
"268",0.00444132841614191
"269",0.0748004332956241
"270",0.00344130348440524
"271",0.000227038269233431
"272",0.00801382783436072
"273",3.09393195287093e-05
"274",0.0163727929560844
"275",0.0439769930432545
"276",0.000338345806669182
"277",0.0383543031467265
"278",0.000882004899364767
"279",0.00728314953412225
"280",6.8382231432362e-05
"281",0.00913358459006297
"282",0.0278344195825372
"283",0.00835756783774809
"284",0.249320573353409
"285",0.0817475716231074
"286",0.107746459475906
"287",0.00920892233365127
"288",0.0206854654698328
"289",0.00139761768926154
"290",0.0146120205342613
"291",1.71735423768472e-05
"292",0.000655639540398026
"293",0.00226729601886902
"294",0.00262754313914178
"295",0.0651414166437236
"296",3.3942197517304e-05
"297",4.95035982722005e-06
"298",0.0213242159917767
"299",0.00091992940072334
"300",0.00217382694064912
"301",0.0255409576270081
"302",0.000947485516753338
"303",0.135202081006163
"304",0.0490397120291874
"305",0.017317535777769
"306",0.000397998108165475
"307",0.0180669009979889
"308",0.0274672336043365
"309",0.0124056719096181
"310",0.00343145222642305
"311",1.88605621744773e-05
"312",0.000562484779217788
"313",0.0118464719610327
"314",0.00333161919735806
"315",0.00678661274735318
"316",0.00132685109180559
"317",5.03370910929295e-06
"318",0.0155838951351248
"319",0.00219731296360675
"320",0.0258679744507692
"321",0.000112941825175762
"322",0.000907100923121688
"323",2.70261900190131e-05
"324",0.00105369644403926
"325",0.000206518243882598
"326",0.0017526244904652
"327",0.00314543447162548
"328",0.078704108424289
"329",0.000702763295684567
"330",0.00223358764285391
"331",0.0220986708730841
"332",0.000149605001849551
"333",0.00205737985319002
"334",0.00632315001704971
"335",0.0482698275431805
"336",0.000813599109314236
"337",0.0110044062944072
"338",0.0521463015137984
"339",0.0897785051567992
"340",6.44210919926204e-05
"341",0.0214956325551183
"342",0.0471979282516216
"343",0.0400880638177468
"344",0.0192504387718875
"345",0.111682661140928
"346",0.0196544943873542
"347",0.00094734980912308
"348",5.29725529735708e-06
"349",8.04546290671889e-05
"350",3.60587831300493e-06
"351",0.00419601959536549
"352",0.000188895712950592
"353",0.0330652860089258
"354",2.66959939769702e-05
"355",0.0401849873070256
"356",0.0281990361900059
"357",0.00236691920594798
"358",0.00101541191237702
"359",6.87497674717933e-06
"360",0.00971112988674331
"361",0.00204023826638123
"362",0.00326427857609774
"363",0.00543456687182886
"364",0.307254108639664
"365",0.0137576764329939
"366",0.0315788469008918
"367",0.000394596360453849
"368",0.0605870571251087
"369",0.0303514336153888
"370",2.80704282212789e-05
"371",0.0332356709096759
"372",5.06605321116208e-05
"373",0.00828014590962298
"374",0.00365473463607583
"375",0.00113008405605614
"376",0.0220339489527889
"377",0.0148473452366909
"378",0.00901057876343967
"379",0.00523717097379668
"380",0.00230704965777018
"381",0.0307941118062045
"382",4.67503904641085e-05
"383",0.0064698564399579
"384",0.00104102780882345
"385",0.0033001996370364
"386",0.00584334300610415
"387",0.0115201878860608
"388",0.00151650940119199
"389",0.0140859477873762
"390",0.00689945517884607
"391",0.0295184782568893
"392",0.0709925400663367
"393",0.00821134550165012
"394",0.000449343873524657
"395",0.0633216014565183
"396",0.0118203959339143
"397",0.154574541281466
"398",0.00188836592684907
"399",0.00962568989659661
"400",0.000576748853799209
"401",0.00316466757862879
"402",0.00263440638802584
"403",0.0225664279620208
"404",0.0187561004215356
"405",0.0367153868480444
"406",0.0707848743692028
"407",0.00851888685887167
"408",0.0586152941914087
"409",0.000779933284461778
"410",1.67567738503442e-05
"411",0.0110845004742033
"412",0.000928512572198618
"413",0.0112941538881944
"414",0.0724938922846761
"415",0.00352047295847986
"416",0.186308200451657
"417",1.30872306637298e-05
"418",2.63208544604029e-06
"419",0.00398549030686993
"420",0.0572571740112778
"421",0.0582789838513841
"422",5.38273178731153e-05
"423",0.181605732351292
"424",0.200336095226582
"425",0.00662708245859533
"426",3.86245567363364e-05
"427",0.00882903465516693
"428",0.326993894884309
"429",2.11836283268263e-05
"430",0.00023820062757085
"431",0.0212329728257049
"432",6.24653806642631e-07
"433",0.0811874394221004
"434",0.000200199428190447
"435",0.00575507295381811
"436",0.000186936970727504
"437",0.00572335321211987
"438",0.000509481032006701
"439",0.0406174627469467
"440",0.00188675427746402
"441",0.0109527709086128
"442",0.101317427302419
"443",0.000967189294358866
"444",0.00140895502399915
"445",0.000751436217627201
"446",9.32917000740569e-05
"447",5.83485105080141e-06
"448",0.0063036921784618
"449",0.109010931231192
"450",0.000465625517566195
"451",0.112650645782097
"452",0.00929713996438976
"453",0.00117984733223815
"454",0.00771267120812516
"455",1.8773473537281e-05
"456",0.00516774562130979
"457",0.0138036455647987
"458",0.00268038343956774
"459",0.00226674963474503
"460",0.292037976550234
"461",0.000588072890379257
"462",2.13967833248665e-05
"463",0.00261757381798932
"464",7.57112065206081e-06
"465",0.00345820260356436
"466",0.00904043828839333
"467",0.0665182427330476
"468",0.124694590459504
"469",0.0457866586885017
"470",4.44347133941181e-06
"471",0.0158713976070626
"472",0.0410380160983454
"473",0.0123642887856367
"474",0.00600799118701238
"475",0.00268230726995487
"476",0.000518663547680628
"477",0.0121726411683585
"478",0.000540160858775345
"479",0.12184396832675
"480",0.00764478694438451
"481",0.0201389915754784
"482",0.04925692630467
"483",0.00827710875430636
"484",0.0839511062462538
"485",0.0107437127701526
"486",0.0390968097171731
"487",0.0210278145274477
"488",0.0144542407731359
"489",0.0257142301862979
"490",0.0165366394440691
"491",0.00141530058196872
"492",0.000497509091212437
"493",0.0821671594049102
"494",0.0325390953442057
"495",0.00378262171147145
"496",0.0286985613002905
"497",0.00823816412744222
"498",0.0612691172683988
"499",0.0103327438285828
"500",0.00846300870928281
