"","x"
"1",0.0313036288548259
"2",0.510376738567727
"3",0.264643597049709
"4",7.82544088784788e-46
"5",0.992915440154285
"6",0.996076989187088
"7",0.999999986460843
"8",0.99999999755319
"9",7.66940824296731e-56
"10",6.76471004645553e-69
"11",1.13456314475477e-66
"12",9.47743625455889e-46
"13",1.33036595403789e-56
"14",3.58575129204084e-38
"15",6.68261581661372e-80
"16",2.14005182081671e-29
"17",4.35123646687319e-60
"18",5.5408810468066e-110
"19",3.07275277731626e-56
"20",6.93990624511569e-93
