"","prob.hit","prob.1","prob.1","prob.1","prob.1","prob.1","prob.1","prob.1","prob.1","prob.1","prob.1","prob.1","prob.1"
"1",0.937004961754857,0.936199830709516,0.966259934213518,0.931600454040312,0.982104213769206,0.986822799410356,0.997991962788624,0.999027645463723,0.976645662345805,0.999383550737899,0.991539430873219,0.920527301915777,0.996138474782559
"2",0.994342516539728,0.906774564415239,0.971234477273012,0.904537978618917,0.991199876047383,0.987662591348212,0.996231097793533,0.999000884370809,0.972987839082103,0.999159149819797,0.993019474817687,0.950275262856291,0.9945054641168
"3",0.868570211659142,0.733182809853269,0.910934705174676,0.895446413606767,0.929904703820881,0.961238673268549,0.986287296941357,0.950777558697971,0.936544993703556,0.996230156449074,0.947030872786989,0.976925652405754,0.970095129515851
"4",0.970545914473535,0.932594695201491,0.939919632658744,0.912895621670996,0.72518541971676,0.930867909763716,0.966853130868598,0.93707632151637,0.930183426861479,0.935891756821912,0.834250117970514,0.797853758088902,0.917122174407847
"5",0.928506726530664,0.914752359927891,0.920979816039388,0.969590499915248,0.896505503111947,0.974898222310899,0.997579563668124,0.998505146005051,0.959924053368158,0.995519364500936,0.987692324510818,0.960548007342542,0.988766155404576
"6",0.990131194203582,0.990642540767543,0.991611715362014,0.988519724725248,0.98003680445431,0.955265085607196,0.996159668996828,0.986692479532446,0.982958469690878,0.904902133132491,0.920162475217546,0.946609468740071,0.852588114346827
"7",0.812665564783014,0.966596622885195,0.792300159859361,0.977215973129823,0.928138489600968,0.910941102028725,0.887408208466835,0.973826564020091,0.996621172605376,0.995823042063012,0.95635308451427,0.994830371297798,0.959338597972576
"8",0.617192308318246,0.745276098816938,0.734356196310443,0.706627168617197,0.723996604496466,0.715887876059439,0.845649622719893,0.66594307302311,0.853768849128218,0.960984882936999,0.775293309635912,0.863222991006757,0.795030254517003
"9",0.96811771750406,0.939860780771165,0.960957173571168,0.934059885243423,0.874962027745758,0.965964991588905,0.981217436467529,0.934688020082428,0.953257190975751,0.918110454933378,0.581349849130376,0.785715460568434,0.558648809311326
"10",0.899642965738342,0.907754938452403,0.955772448130411,0.728393952329415,0.692948293765852,0.935935451895317,0.977056386178137,0.939176003420802,0.918656102511613,0.959222352649631,0.923170047764383,0.966833967004761,0.924339906632316
"11",0.915553593444829,0.87602722286768,0.902286684863916,0.818465105694008,0.766474422111292,0.701449576434651,0.956029467243069,0.805727637450556,0.751337311041826,0.968583455334218,0.812493700515014,0.928048523767482,0.883770613382624
"12",0.841018458543735,0.677121512198787,0.668005235464795,0.600272904754234,0.367076523379033,0.490507026301001,0.869809838061956,0.719213762357613,0.644035399266795,0.80804488449887,0.79154057040993,0.714374149696356,0.751405201526692
