"","Index","unlabeling","sfp normalized value","sfp-PfAcpH normalized value","AcpS normalized value","AcpS-PfAcpH normalized value"
"1","A12","1","0.866937094331263","1.96200424175704","2.94255382312775","2.66484281563813"
"2","A13","1","0.510877260076139","1.15693131147489","2.53477506742023","2.18467857815656"
"3","A22","1","0.820118777701511","1.27918312681403","1.5300242798876","1.21343133135588"
"4","B5","1","0.304706607786267","2.04334174797407","1.93939158089621","1.72641731519252"
"5","C24","1","-0.369774465924154","-0.368871904991732","2.29238610072804","2.56159294621714"
"6","D9","1","-0.696964740221397","-0.272415164223432","2.00352601087568","1.59459870417715"
"7","D20","1","1.05064143308148","1.31651933402378","2.99365888931648","2.00076065882277"
"8","D22","1","0.106038223431753","0.784820405732423","2.00468655433399","2.09698489153331"
"9","D25","1","0.905773044152383","1.54478118837436","1.78236428942439","1.36907494788641"
"10","E9","1","-0.895766164022721","-0.346409376319662","1.59117092777229","1.22419470494254"
"11","E19","1","0.411057184701834","-0.127408491624611","1.83642421448923","1.55746670107423"
"12","E28","1","1.29933264943675","1.38435125949315","1.98739363372479","1.62041935038771"
"13","F16","1","-0.297100222022968","0.468509180793245","1.78564014968259","1.71182623732124"
"14","G13","1","0.642256605963406","1.69725977967253","2.06806375028393","1.65553935508461"
"15","H7","1","-0.0971939923807394","2.05502319833503","2.16955780265519","2.90134259575357"
"16","H13","1","-0.121731093831617","0.294936158613023","1.5197275432469","1.23344499029704"
"17","H20","1","1.02133226451675","1.1383625995898","3.30154036875849","2.88280930962334"
"18","H22","1","0.415597878864715","-0.28297407280796","1.52841927297718","1.20721540132103"
"19","I19","1","0.866688368408964","0.741789637636005","1.79215894698029","1.55873442364713"
"20","I21","1","0.955078620005113","0.488492763042367","1.93203324152228","1.62793571841669"
"21","J11","1","0.801418058938973","1.69984396438702","1.68084554463913","1.43954396522887"
"22","L13","1","1.137279034574","1.77544013714336","2.07033545237252","1.79323038421186"
"23","L24","1","1.31547091276724","-0.674542369341852","2.23005421697104","1.8438084254428"
"24","M18","1","1.38700564488487","2.22665515869351","2.36489948986038","1.59495039495544"
"25","M19","1","1.45792723868242","0.264475519783902","1.58545051852746","1.1746144840593"
"26","M22","1","1.20059424260825","-0.848583117262252","1.61326240750342","0.776484165327135"
"27","M27","1","1.25802679336397","1.82761494346027","1.51660806827742","1.07110289126842"
"28","N7","1","0.18902591662264","1.63461960991914","1.50252516148906","1.83594854549084"
"29","N16","1","1.09156552378515","0.917631129656092","2.08748844930235","1.47010834751865"
"30","O10","1","0.572144817494266","1.62102048402345","1.69444283395202","1.48126430616015"
"31","O18","1","0.478947792841616","-0.49069107402121","2.18736926395852","1.88349223140213"
"32","O23","1","1.29825098089094","1.62333572643733","1.54900451545391","0.979319776990673"
"33","Q9","1","0.903002353064459","2.36647007557635","2.46594084797486","2.98814478714813"
"34","Q16","1","0.698752096267679","-0.366486503716823","1.69897800732454","1.3849501060412"
"35","R10","1","0.685691093185151","1.43309997476325","1.6909118187491","1.60149347920265"
"36","R22","1","1.23505724365595","2.30335048693927","1.54883989936053","1.46799820284893"
"37","A23","0","0.316963589864156","0.0100561034138354","3.51107196321273","3.00026585071609"
"38","B11","0","0.743152565559743","2.09549316800397","3.58314911969762","3.12285871294289"
"39","E2","0","0.465678554103211","0.989976608518194","1.60171458855306","3.16987077325911"
"40","F4","0","-0.105118515951627","0.490983402608817","2.55993663729282","3.19030973267633"
"41","I10","0","0.972402669709352","2.46582671593376","4.22353041534609","4.70848521284606"
