"","Index","unlabeling","sfp normalized value","sfp-PfAcpH normalized value","AcpS normalized value","AcpS-PfAcpH normalized value"
"1","B29","1","1.96212938912294","0.0645227658576143","0.121527830935178","0.0717612764812847"
"2","B30","1","1.99770876465909","-0.157342938996031","0.353389598455937","0.434338111185167"
"3","E30","1","1.69967726650845","2.18555375927533","0.154278202712427","-0.000703381556575277"
"4","I23","1","2.20637246049572","2.91249310466067","0.679971466105516","0.492375268457928"
"5","I24","1","2.85019661820198","1.99033672846835","0.79174579350814","0.622492677569027"
"6","I30","1","2.10712503317508","0.910907572141026","-0.153199967300813","0.0446483711319041"
"7","J25","1","1.68047909590131","0.454547567448916","0.462966301011984","0.142622878878579"
"8","J27","1","1.6565377797992","0.375513610502263","0.649171795034779","0.439188172383413"
"9","J28","1","1.6484802167815","-0.0879909048710712","1.40352504293245","2.10226025320763"
"10","J29","1","1.61714653489574","0.205483610803894","-0.193267524428645","0.0298446430225898"
"11","K20","1","1.71489582235882","1.82207239343915","0.826306942312529","0.363877272698015"
"12","K21","1","1.50667751945282","0.869747707005323","0.862226173887275","0.310894648006226"
"13","K23","1","1.52003930737161","-0.433698692580466","0.148582485881601","-0.290791021656671"
"14","K27","1","1.68957205287462","0.853201908946511","0.351488282577439","0.188776159387343"
"15","M28","1","1.56092290780886","2.69026491235838","0.254554095992704","0.171780498055213"
"16","N28","1","1.59836483560036","1.84425428666712","0.599021502187636","0.577091851748693"
"17","O24","1","1.6076081849918","2.83564576554935","0.665970867363847","0.507195354277862"
"18","O25","1","1.60102562453657","2.79714024398916","-0.0406354826499827","-0.0220747304790284"
"19","O27","1","2.47977430801509","2.81391990491806","0.665551096325737","0.949540564810556"
"20","O28","1","2.21842120691773","1.34529616018825","-0.41250323758743","-0.216641519425154"
"21","P24","1","2.00856015605981","2.66299650170598","0.599268426327702","0.500897635689922"
"22","P25","1","1.87556119951572","2.12490142391769","-0.333355819892023","-0.180474621248695"
"23","P26","1","2.05648327853046","2.74329331815112","1.0332952181241","1.30116591225567"
"24","P29","1","2.53565665999928","0.380833990796795","0.469320482216317","0.763447069964567"
"25","P30","1","3.12651376490363","-0.845297343937499","-0.477864057462556","-0.193691651428061"
"26","Q19","1","2.586680180013","-1.22532450783248","-0.099543351664752","-0.335333067669561"
"27","Q26","1","1.70121589663243","1.09001145119886","0.235598552840403","0.278849892905509"
"28","Q29","1","2.18519605115775","-0.830844618565984","-0.0180007698107181","0.038759595309414"
"29","Q30","1","2.15212707213967","-1.04888666549367","-0.129552865487282","0.24409793669751"
"30","R19","1","1.50265741442963","0.822215078659688","0.212305375627633","0.324193466738682"
"31","R25","1","1.82818758780363","1.36091819991022","0.688951273999203","0.312563134489264"
"32","R26","1","1.95133584095997","1.05810086257518","1.06662174622817","0.989355232454834"
"33","R27","1","2.38006991911627","0.907656878246786","1.3287728749302","0.943087447971744"
"34","S26","1","1.92622030713165","0.814310513650673","0.667123180017483","0.481767293122139"
"35","S27","1","1.73547066202425","0.385873735647218","-0.0780527206744548","-0.00152944594278658"
"36","S28","1","2.19952960547064","1.73419842000313","0.471822646835638","0.6792702911242"
"37","A8","0","2.53259675272264","7.4698840923809","0.702095869055314","0.642244613140295"
"38","A21","0","2.34410299388724","4.14512582718344","0.559744102308011","0.289564193360319"
"39","B4","0","1.81049334137783","4.80332118190606","1.36020631796044","0.958676346190724"
"40","J18","0","3.67606501373521","6.45408902300485","1.36956474286889","1.27240905698918"
"41","M6","0","4.32566771089206","12.5766423482277","0.816240668202558","2.54473632542527"
"42","M29","0","2.38967189658173","3.1510800047257","0.801359373361325","0.546355713497419"
"43","M30","0","2.45660230697496","3.1109959087924","0.0182147707321062","0.283070182244961"
"44","N5","0","1.52217372284435","4.61322574795403","0.885947352942825","2.36303487588022"
"45","N29","0","2.78312159971438","3.19594659635231","0.945916995759874","1.28724550051973"
"46","P8","0","3.894440589189","8.19109379744905","0.949769012344882","1.5950076469426"
"47","R29","0","4.6577804447213","4.13249723219862","1.30652500991037","1.54269568838615"
