"","Index","unlabeling","sfp normalized value","sfp-PfAcpH normalized value","AcpS normalized value","AcpS-PfAcpH normalized value"
"1","A4",0,0.219839009368709,3.09277799121245,0.909907225333771,2.46785508552054
"2","A6",0,0.429977707767799,3.01246948162381,1.24303258269506,3.18306326687254
"3","A8",0,2.53259675272264,7.4698840923809,0.702095869055314,0.642244613140295
"4","A9",1,0.360346018171932,1.53734434910552,1.35228005306436,1.14652011607284
"5","A11",1,-0.00856658350984203,0.906850051344978,1.12289575774892,0.747956318009295
"6","A21",0,2.34410299388724,4.14512582718344,0.559744102308011,0.289564193360319
"7","B10",1,0.400159518710921,1.51103477622049,0.798338668047867,0.423762851270614
"8","E25",1,0.556978320557868,0.931113324116736,-0.00827195869216853,-0.289155250594868
"9","E27",1,1.01092626604666,1.65228794975438,0.183802099059497,0.0434542582567884
"10","F2",0,0.849537848417957,2.36884378370776,-0.387720284729601,1.19401472885228
"11","G1",1,0.122847468320072,0.973851763625541,0.501470005252741,3.80220261376488
"12","G2",1,-0.457661481351933,0.0654114447639536,-0.405367129939558,1.05308487302267
"13","G13",1,0.642256605963406,1.69725977967253,2.06806375028393,1.65553935508461
"14","G14",1,-0.527235327710056,-0.151063720934135,0.142870307441438,-0.0432170714528289
"15","G21",1,-0.140466518536802,-0.481547035800719,0.649953721478317,0.468223108730411
"16","I12",1,-0.209190069300093,0.213434948386929,0.0841188237153747,-0.276657959682695
"17","I14",1,0.560049796482059,1.12793231558383,-0.161718850133046,-0.189749443169117
"18","I18",1,0.792290396023016,1.32490331791647,0.620561518005949,0.479779831282047
"19","I23",0,2.20637246049572,2.91249310466067,0.679971466105516,0.492375268457928
"20","I24",0,2.85019661820198,1.99033672846835,0.79174579350814,0.622492677569027
"21","I28",1,1.23670577593164,-0.0279816924061759,0.747678065311259,0.742321086701386
"22","J5",0,-0.177405210159929,2.65444881380422,-0.0242067965310102,1.34201929452419
"23","J20",0,0.607851448153452,0.125596054381417,0.357274538259622,0.33680526162518
"24","J27",1,1.6565377797992,0.375513610502263,0.649171795034779,0.439188172383413
"25","K7",0,0.911898643029441,3.89702070830578,0.154442818805804,0.995718381885246
"26","K8",1,0.0247453371067552,2.06551194805853,0.244710053608792,0.81400875348489
"27","K14",1,0.786118522555764,1.32617787055846,0.174032133917604,-0.121954911512703
"28","K15",1,0.975792283441133,1.48520462221913,0.0271287321884408,-0.10340526767186
"29","K16",1,0.680219122894596,1.27745254157537,-0.27103216693969,-0.45398372163742
"30","K20",1,1.71489582235882,1.82207239343915,0.826306942312529,0.363877272698015
"31","K21",1,1.50667751945282,0.869747707005323,0.862226173887275,0.310894648006226
"32","K27",1,1.68957205287462,0.853201908946511,0.351488282577439,0.188776159387343
"33","L6",0,0.448394994665393,3.39268373581487,-0.129857405260029,1.67269859352292
"34","L11",1,0.714734182856263,0.908697568018685,1.23699117206815,0.641271329358523
"35","L12",1,0.517945703728419,0.569537940671788,0.982000843427996,0.453239445804299
"36","L17",1,0.990004366954759,1.20730537369211,-0.495091131634404,-0.775420914136967
"37","L28",1,0.334912346536027,-0.637112616984071,-0.727594901919331,-1.02534219581449
"38","M2",1,-0.639966013748754,-0.734738672102817,-1.69832777375571,-0.514490893213504
"39","M3",0,1.40951823301472,3.78376092032157,-0.522557326814268,0.89593634711528
"40","M4",0,-0.113378530301427,1.4520896398145,-0.724236733614452,0.596999185570832
"41","M6",0,4.32566771089206,12.5766423482277,0.816240668202558,2.54473632542527
"42","M7",0,1.35747088769294,4.30708755786373,-1.21554992590586,-0.294201604320529
"43","M8",1,1.12547901407428,3.10419049927281,-0.268233693352291,0.438501148537455
"44","M12",1,0.740023246397809,1.42852795565301,1.31325780812947,0.638196079762334
"45","M16",1,0.540406232944298,0.287838420505815,0.564065274759144,-0.0114176820113846
"46","N3",1,0.348910410070003,1.03748585057682,-1.10611314702919,0.267366780051654
"47","N4",1,-0.135439941176875,1.28156852808894,-0.829936727171482,0.775543596966599
"48","N5",0,1.52217372284435,4.61322574795403,0.885947352942825,2.36303487588022
"49","N18",1,0.564156666361862,0.108208349990282,0.694432989908639,0.358372903075049
"50","N19",1,0.339927355248406,-0.720496423314385,0.35896185321673,-0.0822056747108973
"51","N20",1,0.137186806956735,-1.14648933432541,0.468085861515993,0.0520747717524895
"52","O12",0,1.23384253566333,2.52783545593791,0.945801764494509,0.326671659897312
"53","O13",0,0.553149098219235,1.70725741736885,1.14147268388645,0.794559435560056
"54","O24",0,1.6076081849918,2.83564576554935,0.665970867363847,0.507195354277862
"55","O25",0,1.60102562453657,2.79714024398916,-0.0406354826499827,-0.0220747304790284
"56","P8",0,3.894440589189,8.19109379744905,0.949769012344882,1.5950076469426
"57","P14",1,0.54350663048736,0.61781893020171,1.22243910941367,0.773817858496397
"58","P29",1,2.53565665999928,0.380833990796795,0.469320482216317,0.763447069964567
"59","Q8",1,0.307072396209983,1.72070453239898,0.808832944000618,1.44543274105136
"60","Q14",1,0.184566202992601,0.0792093540992185,0.718063630112832,0.281851532803917
"61","Q26",1,1.70121589663243,1.09001145119886,0.235598552840403,0.278849892905509
"62","R3",0,0.193878964269336,2.34660342476227,0.298539516142897,0.286726130568089
"63","R25",1,1.82818758780363,1.36091819991022,0.688951273999203,0.312563134489264
"64","R27",1,2.38006991911627,0.907656878246786,1.3287728749302,0.943087447971744
"65","S4",0,-0.050769009767645,3.81070192295585,0.534245069443996,0.509845303397983
"66","S8",1,0.168075095911871,0.844525596466201,0.325997480518093,0.631661174370432
