Labels Sfp only,unlabeling
A4,0
A6,0
A8,0
A9,1
A11,1
A21,0
B10,1
E25,1
E27,1
F2,0
G1,1
G2,1
G13,1
G14,1
G21,1
I12,1
I14,1
I18,1
I23,0
I24,0
I28,1
J5,0
J20,0
J27,1
K7,0
K8,1
K14,1
K15,1
K16,1
K20,1
K21,1
K27,1
L6,0
L11,1
L12,1
L17,1
L28,1
M2,1
M3,0
M4,0
M6,0
M7,0
M8,1
M12,1
M16,1
N3,1
N4,1
N5,0
N18,1
N19,1
N20,1
O12,0
O13,0
O24,0
O25,0
P8,0
P14,1
P29,1
Q8,1
Q14,1
Q26,1
R3,0
R25,1
R27,1
S4,0
S8,1
