"","Index","unlabeling","sfp normalized value","sfp-PfAcpH normalized value","AcpS normalized value","AcpS-PfAcpH normalized value","sfp diff"
"1","A8","0","2.53259675272264","7.4698840923809","0.702095869055314","0.642244613140295","-4.93728733965826"
"2","A21","0","2.34410299388724","4.14512582718344","0.559744102308011","0.289564193360319","-1.8010228332962"
"3","B4","0","1.81049334137783","4.80332118190606","1.36020631796044","0.958676346190724","-2.99282784052823"
"4","B29","1","1.96212938912294","0.0645227658576143","0.121527830935178","0.0717612764812847","1.89760662326533"
"5","B30","1","1.99770876465909","-0.157342938996031","0.353389598455937","0.434338111185167","2.15505170365512"
"6","E30","0","1.69967726650845","2.18555375927533","0.154278202712427","-0.000703381556575277","-0.48587649276688"
"7","I23","0","2.20637246049572","2.91249310466067","0.679971466105516","0.492375268457928","-0.706120644164954"
"8","I24","1","2.85019661820198","1.99033672846835","0.79174579350814","0.622492677569027","0.859859889733627"
"9","I30","1","2.10712503317508","0.910907572141026","-0.153199967300813","0.0446483711319041","1.19621746103405"
"10","J18","0","3.67606501373521","6.45408902300485","1.36956474286889","1.27240905698918","-2.77802400926964"
"11","J25","1","1.68047909590131","0.454547567448916","0.462966301011984","0.142622878878579","1.2259315284524"
"12","J27","1","1.6565377797992","0.375513610502263","0.649171795034779","0.439188172383413","1.28102416929693"
"13","J28","1","1.6484802167815","-0.0879909048710712","1.40352504293245","2.10226025320763","1.73647112165257"
"14","J29","1","1.61714653489574","0.205483610803894","-0.193267524428645","0.0298446430225898","1.41166292409184"
"15","J30","0","3.66624323196633","3.56801072952076","1.28376683500107","3.51924693549424","0.0982325024455681"
"16","K20","0","1.71489582235882","1.82207239343915","0.826306942312529","0.363877272698015","-0.107176571080337"
"17","K21","1","1.50667751945282","0.869747707005323","0.862226173887275","0.310894648006226","0.636929812447493"
"18","K23","1","1.52003930737161","-0.433698692580466","0.148582485881601","-0.290791021656671","1.95373799995208"
"19","K27","1","1.68957205287462","0.853201908946511","0.351488282577439","0.188776159387343","0.836370143928112"
"20","M6","0","4.32566771089206","12.5766423482277","0.816240668202558","2.54473632542527","-8.25097463733565"
"21","M28","0","1.56092290780886","2.69026491235838","0.254554095992704","0.171780498055213","-1.12934200454953"
"22","M29","0","2.38967189658173","3.1510800047257","0.801359373361325","0.546355713497419","-0.761408108143966"
"23","M30","0","2.45660230697496","3.1109959087924","0.0182147707321062","0.283070182244961","-0.654393601817436"
"24","N5","0","1.52217372284435","4.61322574795403","0.885947352942825","2.36303487588022","-3.09105202510967"
"25","N28","0","1.59836483560036","1.84425428666712","0.599021502187636","0.577091851748693","-0.245889451066762"
"26","N29","0","2.78312159971438","3.19594659635231","0.945916995759874","1.28724550051973","-0.412824996637932"
"27","O24","0","1.6076081849918","2.83564576554935","0.665970867363847","0.507195354277862","-1.22803758055755"
"28","O25","0","1.60102562453657","2.79714024398916","-0.0406354826499827","-0.0220747304790284","-1.19611461945259"
"29","O27","0","2.47977430801509","2.81391990491806","0.665551096325737","0.949540564810556","-0.33414559690297"
"30","O28","1","2.21842120691773","1.34529616018825","-0.41250323758743","-0.216641519425154","0.873125046729475"
"31","P8","0","3.894440589189","8.19109379744905","0.949769012344882","1.5950076469426","-4.29665320826005"
"32","P24","0","2.00856015605981","2.66299650170598","0.599268426327702","0.500897635689922","-0.654436345646173"
"33","P25","0","1.87556119951572","2.12490142391769","-0.333355819892023","-0.180474621248695","-0.249340224401971"
"34","P26","0","2.05648327853046","2.74329331815112","1.0332952181241","1.30116591225567","-0.686810039620652"
"35","P29","1","2.53565665999928","0.380833990796795","0.469320482216317","0.763447069964567","2.15482266920249"
"36","P30","1","3.12651376490363","-0.845297343937499","-0.477864057462556","-0.193691651428061","3.97181110884113"
"37","Q19","1","2.586680180013","-1.22532450783248","-0.099543351664752","-0.335333067669561","3.81200468784548"
"38","Q26","1","1.70121589663243","1.09001145119886","0.235598552840403","0.278849892905509","0.611204445433573"
"39","Q29","1","2.18519605115775","-0.830844618565984","-0.0180007698107181","0.038759595309414","3.01604066972373"
"40","Q30","1","2.15212707213967","-1.04888666549367","-0.129552865487282","0.24409793669751","3.20101373763335"
"41","R19","1","1.50265741442963","0.822215078659688","0.212305375627633","0.324193466738682","0.680442335769942"
"42","R25","0","1.82818758780363","1.36091819991022","0.688951273999203","0.312563134489264","0.467269387893413"
"43","R26","1","1.95133584095997","1.05810086257518","1.06662174622817","0.989355232454834","0.893234978384784"
"44","R27","1","2.38006991911627","0.907656878246786","1.3287728749302","0.943087447971744","1.47241304086949"
"45","R29","1","4.6577804447213","4.13249723219862","1.30652500991037","1.54269568838615","0.525283212522675"
"46","S26","1","1.92622030713165","0.814310513650673","0.667123180017483","0.481767293122139","1.11190979348098"
"47","S27","1","1.73547066202425","0.385873735647218","-0.0780527206744548","-0.00152944594278658","1.34959692637703"
"48","S28","0","2.19952960547064","1.73419842000313","0.471822646835638","0.6792702911242","0.465331185467508"
