"","Index","unlabeling","sfp normalized value","sfp-PfAcpH normalized value","AcpS normalized value","AcpS-PfAcpH normalized value"
"1","B11",0,0.743152565559743,2.09549316800397,3.58314911969762,3.12285871294289
"2","C10",0,-0.858144922194219,-0.693216319518476,1.03314706364006,0.992863961382399
"3","C24",0,-0.369774465924154,-0.368871904991732,2.29238610072804,2.56159294621714
"4","D9",0,-0.696964740221397,-0.272415164223432,2.00352601087568,1.59459870417715
"5","I2",0,-0.879974960118691,0.374566465878403,0.804207231776738,1.78415185481885
"6","K17",0,-0.187122874100871,0.259891807530152,1.04443149684102,1.19489804522565
"7","S19",0,2.72044266729531,4.58658876705087,4.27256131875827,4.4530922769668
