"","FPR","TPR"
"1",1,1
"2",0.998595505617977,1
"3",0.997191011235955,1
"4",0.995786516853933,1
"5",0.99438202247191,1
"6",0.992977528089888,1
"7",0.991573033707865,1
"8",0.990168539325843,1
"9",0.98876404494382,1
"10",0.987359550561798,1
"11",0.985955056179775,1
"12",0.984550561797753,1
"13",0.98314606741573,1
"14",0.981741573033708,1
"15",0.980337078651685,1
"16",0.980337078651685,0.99
"17",0.978932584269663,0.99
"18",0.97752808988764,0.99
"19",0.976123595505618,0.99
"20",0.974719101123595,0.99
"21",0.973314606741573,0.99
"22",0.971910112359551,0.99
"23",0.970505617977528,0.99
"24",0.969101123595506,0.99
"25",0.969101123595506,0.98
"26",0.969101123595506,0.97
"27",0.967696629213483,0.97
"28",0.966292134831461,0.97
"29",0.964887640449438,0.97
"30",0.963483146067416,0.97
"31",0.962078651685393,0.97
"32",0.960674157303371,0.97
"33",0.959269662921348,0.97
"34",0.957865168539326,0.97
"35",0.957865168539326,0.96
"36",0.956460674157303,0.96
"37",0.955056179775281,0.96
"38",0.953651685393258,0.96
"39",0.952247191011236,0.96
"40",0.950842696629214,0.96
"41",0.949438202247191,0.96
"42",0.948033707865168,0.96
"43",0.946629213483146,0.96
"44",0.946629213483146,0.95
"45",0.945224719101124,0.95
"46",0.943820224719101,0.95
"47",0.942415730337079,0.95
"48",0.941011235955056,0.95
"49",0.939606741573034,0.95
"50",0.938202247191011,0.95
"51",0.936797752808989,0.95
"52",0.935393258426966,0.95
"53",0.933988764044944,0.95
"54",0.932584269662921,0.95
"55",0.931179775280899,0.95
"56",0.929775280898876,0.95
"57",0.928370786516854,0.95
"58",0.926966292134832,0.95
"59",0.925561797752809,0.95
"60",0.924157303370786,0.95
"61",0.922752808988764,0.95
"62",0.921348314606742,0.95
"63",0.919943820224719,0.95
"64",0.918539325842697,0.95
"65",0.917134831460674,0.95
"66",0.915730337078652,0.95
"67",0.914325842696629,0.95
"68",0.912921348314607,0.95
"69",0.911516853932584,0.95
"70",0.910112359550562,0.95
"71",0.908707865168539,0.95
"72",0.907303370786517,0.95
"73",0.905898876404494,0.95
"74",0.904494382022472,0.95
"75",0.903089887640449,0.95
"76",0.901685393258427,0.95
"77",0.900280898876405,0.95
"78",0.898876404494382,0.95
"79",0.898876404494382,0.94
"80",0.89747191011236,0.94
"81",0.896067415730337,0.94
"82",0.894662921348315,0.94
"83",0.893258426966292,0.94
"84",0.89185393258427,0.94
"85",0.890449438202247,0.94
"86",0.889044943820225,0.94
"87",0.887640449438202,0.94
"88",0.88623595505618,0.94
"89",0.884831460674157,0.94
"90",0.883426966292135,0.94
"91",0.882022471910112,0.94
"92",0.88061797752809,0.94
"93",0.879213483146067,0.94
"94",0.877808988764045,0.94
"95",0.876404494382023,0.94
"96",0.876404494382023,0.93
"97",0.875,0.93
"98",0.873595505617977,0.93
"99",0.872191011235955,0.93
"100",0.870786516853933,0.93
"101",0.86938202247191,0.93
"102",0.867977528089888,0.93
"103",0.866573033707865,0.93
"104",0.865168539325843,0.93
"105",0.86376404494382,0.93
"106",0.862359550561798,0.93
"107",0.860955056179775,0.93
"108",0.859550561797753,0.93
"109",0.85814606741573,0.93
"110",0.856741573033708,0.93
"111",0.855337078651685,0.93
"112",0.853932584269663,0.93
"113",0.85252808988764,0.93
"114",0.851123595505618,0.93
"115",0.849719101123595,0.93
"116",0.848314606741573,0.93
"117",0.846910112359551,0.93
"118",0.846910112359551,0.92
"119",0.846910112359551,0.91
"120",0.845505617977528,0.91
"121",0.844101123595506,0.91
"122",0.842696629213483,0.91
"123",0.841292134831461,0.91
"124",0.839887640449438,0.91
"125",0.838483146067416,0.91
"126",0.837078651685393,0.91
"127",0.835674157303371,0.91
"128",0.834269662921348,0.91
"129",0.832865168539326,0.91
"130",0.831460674157303,0.91
"131",0.830056179775281,0.91
"132",0.828651685393258,0.91
"133",0.827247191011236,0.91
"134",0.825842696629214,0.91
"135",0.824438202247191,0.91
"136",0.823033707865168,0.91
"137",0.821629213483146,0.91
"138",0.820224719101124,0.91
"139",0.818820224719101,0.91
"140",0.817415730337079,0.91
"141",0.816011235955056,0.91
"142",0.814606741573034,0.91
"143",0.813202247191011,0.91
"144",0.811797752808989,0.91
"145",0.810393258426966,0.91
"146",0.808988764044944,0.91
"147",0.807584269662921,0.91
"148",0.806179775280899,0.91
"149",0.804775280898876,0.91
"150",0.803370786516854,0.91
"151",0.803370786516854,0.9
"152",0.801966292134832,0.9
"153",0.801966292134832,0.89
"154",0.800561797752809,0.89
"155",0.799157303370786,0.89
"156",0.799157303370786,0.88
"157",0.797752808988764,0.88
"158",0.796348314606742,0.88
"159",0.794943820224719,0.88
"160",0.793539325842697,0.88
"161",0.792134831460674,0.88
"162",0.790730337078652,0.88
"163",0.790730337078652,0.87
"164",0.789325842696629,0.87
"165",0.787921348314607,0.87
"166",0.786516853932584,0.87
"167",0.785112359550562,0.87
"168",0.783707865168539,0.87
"169",0.782303370786517,0.87
"170",0.780898876404494,0.87
"171",0.780898876404494,0.86
"172",0.780898876404494,0.85
"173",0.779494382022472,0.85
"174",0.778089887640449,0.85
"175",0.776685393258427,0.85
"176",0.775280898876405,0.85
"177",0.773876404494382,0.85
"178",0.77247191011236,0.85
"179",0.771067415730337,0.85
"180",0.769662921348315,0.85
"181",0.768258426966292,0.85
"182",0.76685393258427,0.85
"183",0.765449438202247,0.85
"184",0.764044943820225,0.85
"185",0.762640449438202,0.85
"186",0.76123595505618,0.85
"187",0.759831460674157,0.85
"188",0.758426966292135,0.85
