,FPR,TPR
203,0.136585366,0.561403509
204,0.136585366,0.543859649
205,0.131707317,0.543859649
206,0.126829268,0.543859649
207,0.12195122,0.543859649
208,0.117073171,0.543859649
209,0.112195122,0.543859649
210,0.112195122,0.526315789
211,0.107317073,0.526315789
212,0.107317073,0.50877193
213,0.102439024,0.50877193
214,0.097560976,0.50877193
215,0.097560976,0.49122807
216,0.097560976,0.473684211
217,0.097560976,0.456140351
218,0.092682927,0.456140351
219,0.087804878,0.456140351
220,0.087804878,0.438596491
221,0.082926829,0.438596491
222,0.07804878,0.438596491
223,0.073170732,0.438596491
224,0.073170732,0.421052632
225,0.068292683,0.421052632
226,0.063414634,0.421052632
227,0.063414634,0.403508772
228,0.063414634,0.385964912
229,0.063414634,0.368421053
230,0.063414634,0.350877193
231,0.058536585,0.350877193
232,0.053658537,0.350877193
233,0.048780488,0.350877193
234,0.048780488,0.333333333
235,0.048780488,0.315789474
236,0.048780488,0.298245614
237,0.043902439,0.298245614
238,0.043902439,0.280701754
239,0.043902439,0.263157895
240,0.03902439,0.263157895
241,0.034146341,0.263157895
242,0.029268293,0.263157895
243,0.024390244,0.263157895
244,0.024390244,0.245614035
245,0.019512195,0.245614035
246,0.014634146,0.245614035
247,0.014634146,0.228070175
248,0.009756098,0.228070175
249,0.004878049,0.228070175
250,0.004878049,0.210526316
251,0,0.210526316
252,0,0.192982456
253,0,0.175438596
254,0,0.157894737
255,0,0.140350877
256,0,0.122807018
257,0,0.105263158
258,0,0.087719298
259,0,0.070175439
260,0,0.052631579
261,0,0.035087719
262,0,0.01754386
