"","Gamma","pred_error"
"1",0.05,0.114449247261795
"2",0.1,0.114642225002614
"3",0.15,0.11595861654981
"4",0.2,0.116980911889701
"5",0.25,0.118474662217666
"6",0.3,0.120033986608864
"7",0.35,0.121250909912546
"8",0.4,0.122195646292001
"9",0.45,0.123069404380194
"10",0.5,0.124563513579312
"11",0.55,0.125675674829933
"12",0.6,0.12653104014835
"13",0.65,0.12829114637367
"14",0.7,0.129503818717255
"15",0.75,0.13055604267866
"16",0.8,0.13205470456837
"17",0.85,0.133026471801456
"18",0.9,0.134610187680865
"19",0.95,0.135753089373429
"20",1,0.136743601302474
