2259.956,2072.864,1610.244,1647.197
1774.151,1385.765,1420.201,1372.788
1874.178,1469.518,1523.061,1430.929
1493.202,1373.799,1277.314,1486.808
1236.296,1035.683,1131.416,1118.667
1529.531,1366.931,1317.787,1574.254
1196.856,999.592,1163.397,1170.723
1893.034,1748.13,1252.066,1263.597
1517.493,1240.778,1331.06,1325.253
2004.236,1744.114,1374.265,1362.426
1453.715,1186.858,1303.191,1276.522
1605.073,1277.095,1524.27,1510.893
1543.517,1208.245,1474.727,1452.185
1562.887,1252.612,1328.224,1306.125
1385.04,1125.25,1166.765,1119.94
1333.226,1097.782,1090.916,1084.131
1807.533,1449.926,1360.268,1326.004
1371.74,1110.026,1087.162,1091.482
1662.415,1350.097,1331.3,1299.298
1721.155,1372.865,1571.495,1523.738
1860.447,1463.796,1234.771,1220.476
1596.979,1218.7,1352.655,1333.434
1509.993,1110.164,1593.342,1551.904
1620.3,1132.718,1213.027,1196.973
2981.227,1865.425,2641.844,2511.822
3464.79,2118.254,2154.367,2116.972
3649.808,2230.539,2973.294,2687.975
3495.358,2112.879,2128.644,2032.436
3244.343,1945.102,2102.063,1982.467
3470.133,2273,2052.628,2125.78
2453.41,2122.596,2329.666,2426.493
3170.028,3320.799,3136.026,3233.101
1309.851,1144.154,1089.46,1102.251
1768.196,1520.085,1332.023,1302.286
1507.874,1284.051,1402.391,1396.155
1252.982,1063.663,1145.365,1143.38
1231.075,1034.974,1106.53,1093.582
1276.102,1070.319,1116.379,1112.25
1463.26,1180.315,1305.088,1301.442
1524.376,1238.528,1263.759,1236.884
1583.673,1288.511,1602.099,1566.893
1367.558,1127.009,1074.576,1053.908
1482.221,1236.773,1115.136,1092.166
1311.237,1131.69,1059.296,1044.794
1365.798,1207.133,1118.811,1109.838
1394.136,1164.05,1074.929,1089.811
1290.137,1088.572,1018.383,1017.076
1368.973,1121.411,1012.58,1014.255
1678.569,1376.292,1181.434,1195.164
1494.722,1212.414,1089.513,1065.396
1383.568,1102.65,1115.81,1102.519
1474.044,1171.75,1231.068,1217.647
1358.091,1070.611,1101.741,1100.384
1362.195,1028.96,1132.838,1116.092
1506.548,1087.227,1076.462,1067.968
1432.058,978.008,987.395,966.212
1439.288,937.699,1043.774,1028.478
1445.806,925.526,1001.628,995.432
1794.411,1114.822,1181.53,1193.846
1800.562,1095.848,1209.7,1238.177
1390.424,1180.455,1125.669,1173.826
1455.196,1239.013,1049.733,1099.666
1488.747,1263.722,1108.307,1126.869
1373.134,1130.042,1205.853,1209.65
2320.959,1811.008,1727.023,1592.299
1175.407,969.126,1114.49,1105.493
1313.275,1097.724,1201.853,1187.79
1366.755,1140.461,1221.378,1241.865
1220.974,999.757,1195.745,1208.136
1306.839,1050.02,1292.287,1306.466
1472.745,1230.805,1180.914,1163.518
1416.464,1177.263,1229.337,1186.033
1593.876,1325.966,1167.351,1127.073
1427.929,1222.025,1214.551,1219.329
1297.249,1100.823,1047.418,1051.209
1325.604,1103.056,1052.6,1044.634
1320.72,1120.654,993.005,988.384
