"","FPR","TPR"
"1",1,1
"2",0.933333333333333,1
"3",0.866666666666667,1
"4",0.8,1
"5",0.733333333333333,1
"6",0.666666666666667,1
"7",0.6,1
"8",0.533333333333333,1
"9",0.466666666666667,1
"10",0.4,1
"11",0.4,0.8
"12",0.333333333333333,0.8
"13",0.266666666666667,0.8
"14",0.2,0.8
"15",0.133333333333333,0.8
"16",0.0666666666666667,0.8
"17",0,0.8
"18",0,0.6
"19",0,0.4
"20",0,0.2
