,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100
P.recom,0,0.061974484,0.25444664,0.25444664,0.25444664,0.25444664,0.380648114,0.417921481,0.453097125,0.453097125,0.581057871,0.60585991,0.696277378,0.696277378,0.74476602,0.74476602,0.74476602,0.74476602,0.74476602,0.759410914,0.773159289,0.773159289,0.773159289,0.795880911,0.807430447,0.807430447,0.807430447,0.82399401,0.82399401,0.82399401,0.862551248,0.862551248,0.87468836,0.885679356,0.885679356,0.885679356,0.895220084,0.910792688,0.910792688,0.910792688,0.910792688,0.910792688,0.910792688,0.910792688,0.910792688,0.910792688,0.910792688,0.910792688,0.910792688,0.920005832,0.931666814,0.931666814,0.931666814,0.931666814,0.935193356,0.935193356,0.94412667,0.953873031,0.956203592,0.956203592,0.957911347,0.957911347,0.957911347,0.957911347,0.957911347,0.957911347,0.957911347,0.957911347,0.957911347,0.957911347,0.957911347,0.957911347,0.959547891,0.959547891,0.963176031,0.963176031,0.963176031,0.963176031,0.966171652,0.966171652,0.966171652,0.967887072,0.967887072,0.967887072,0.967887072,0.967887072,0.97230197,0.97230197,0.97230197,0.97606736,0.97606736,0.97606736,0.97606736,0.979201322,0.980768417,0.983255734,0.983255734,0.984218368,0.984218368,0.984218368
P.naive,6.17E-05,0.000123395,0.000185027,0.000246615,0.00030816,0.000369661,0.000431118,0.000492532,0.000553903,0.00061523,0.000676514,0.000737754,0.000798952,0.000860106,0.000921217,0.000982285,0.001043309,0.001104291,0.00116523,0.001226126,0.001286979,0.00134779,0.001408557,0.001469282,0.001529965,0.001590604,0.001651201,0.001711756,0.001772268,0.001832738,0.001893166,0.001953551,0.002013894,0.002074195,0.002134453,0.00219467,0.002254844,0.002314977,0.002375067,0.002435116,0.002495122,0.002555087,0.00261501,0.002674892,0.002734732,0.00279453,0.002854286,0.002914001,0.002973675,0.003033307,0.003092898,0.003152447,0.003211955,0.003271422,0.003330848,0.003390232,0.003449576,0.003508878,0.003568139,0.00362736,0.003686539,0.003745678,0.003804776,0.003863833,0.003922849,0.003981825,0.00404076,0.004099655,0.004158508,0.004217322,0.004276095,0.004334828,0.00439352,0.004452172,0.004510783,0.004569355,0.004627886,0.004686377,0.004744828,0.004803239,0.004861611,0.004919942,0.004978233,0.005036484,0.005094696,0.005152868,0.005211,0.005269092,0.005327145,0.005385158,0.005443132,0.005501066,0.005558961,0.005616817,0.005674633,0.005732409,0.005790147,0.005847845,0.005905504,0.005963124
P.mutate,0.004989019,0.0094399,0.013887115,0.019350451,0.025862523,0.032748259,0.038320637,0.042599811,0.047194956,0.053331977,0.059028903,0.065853797,0.06709278,0.070277777,0.077843053,0.082004952,0.086147667,0.090980098,0.097917228,0.10177983,0.107105862,0.115211955,0.119652425,0.12302278,0.130963692,0.137068192,0.142816615,0.145966593,0.149383707,0.154191804,0.157457782,0.162388303,0.164928546,0.169805468,0.171711456,0.174581334,0.184233855,0.185631666,0.19076017,0.193514801,0.200256399,0.203237213,0.206205981,0.213300333,0.219596785,0.221062453,0.223917952,0.226958897,0.231934285,0.234316702,0.239264061,0.242455043,0.245102007,0.249993147,0.253422331,0.254917537,0.258781162,0.261671853,0.266221932,0.271364416,0.272668159,0.277073148,0.279206073,0.285294832,0.289968193,0.293046937,0.296719528,0.299067767,0.301429654,0.307612559,0.311839582,0.315661145,0.319413151,0.324456345,0.326352646,0.33113908,0.334438575,0.337961286,0.34440379,0.347256318,0.349715511,0.353340274,0.355738241,0.359034241,0.362720662,0.366793375,0.370099697,0.377965106,0.381129825,0.383003973,0.385174049,0.38888192,0.392052115,0.394367805,0.396930842,0.398876646,0.401766085,0.403112728,0.405659109,0.409825737
