"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
"P.recom",0.00112510997961793,0.00146683980331412,0.00255742233116112,0.00361593171871801,0.00464430596380027,0.00498457976501114,0.00498457976501114,0.00498457976501114,0.00598428545652914,0.00608976585855924,0.0064291857272243,0.0064291857272243,0.00740145754221272,0.00834863932063643,0.00927216140172691,0.00961021781658847,0.00961021781658847,0.00967096013375469,0.00972172877825753,0.00972172877825753,0.00972172877825753,0.00980392596952881,0.00999920994379185,0.00999920994379185,0.0100599050312094,0.0100599050312094,0.0102550174404647,0.010592465608888,0.010592465608888,0.0106745503787866,0.0115743670682692,0.0116776444706681,0.0117382239764541,0.0126165765636066,0.0128110938637089,0.0128715867001181,0.0129221965216009,0.0129981651293117,0.0131924918772028,0.0132529533600429,0.013589022788768,0.0136395492667753,0.0144972262714514,0.0144972262714514,0.0144972262714514,0.014557619593716,0.0145707339604432,0.0145707339604432,0.0148553300758553,0.0149057723115492,0.0149057723115492,0.0149661215097988,0.014996384558211,0.0150467660145637,0.0153522261870225,0.0154125607953853,0.0154882205043048,0.0163263632514669,0.0165198613997052,0.0165198613997052,0.0165198613997052,0.0173400281123993,0.0173400281123993,0.017364820992999,0.0173657046697243,0.0176999954663397,0.0180338767197693,0.0183146191465297,0.0183146191465297,0.0183251608420598,0.0183853210326638,0.0184454499529748,0.01847559776003,0.0186684859439379,0.0186684859439379,0.0190017282174399,0.0190017282174399,0.0198037827295773,0.0198037827295773,0.0198197835961404,0.0198357796396061,0.0198389541815328,0.0198990062173291,0.0199031051273819,0.0199631318245346,0.019998426252055,0.019998426252055,0.0202756606270857,0.0203356632212419,0.0203956549182462,0.0205879839605003,0.0206631390059646,0.0206657273935372,0.0209397678710395,0.0209698372630619,0.0209698372630619,0.0213019944051839,0.0213040789658018,0.0220891894637156,0.0221192205594057
"P.naive",0.000509446955926195,0.00101581762563865,0.00151914900959968,0.00201947748690894,0.00251683882730828,0.00301126820294121,0.00350280019987204,0.00399146882936977,0.00447730753896165,0.00496034922326122,0.00544062623457554,0.0059181703932962,0.00639301299807876,0.00686518483581483,0.00733471619140131,0.00780163685731097,0.00826597614296838,0.00872776288393556,0.00918702545091104,0.00964379175854632,0.0100980892740835,0.0105499450258181,0.01099938561139,0.0114464372059072,0.0118911255699044,0.0123334760571418,0.0127735136222449,0.0132112628281916,0.0136467478536469,0.0140799925001503,0.0145110201991585,0.014939854018946,0.0153665166713665,0.0157910305184792,0.0162134175790411,0.016633699534869,0.0170518977370746,0.0174680332121731,0.0178821266680713,0.0182941984999334,0.0187042687959319,0.0191123573428814,0.0195184836317613,0.019922666863127,0.0203249259524146,0.0207252795351379,0.0211237459719837,0.021520343353805,0.0219150895065141,0.0223080019958796,0.0226990981322275,0.0230883949750494,0.023475909337519,0.0238616577909187,0.0242456566689805,0.0246279220721379,0.025008469871697,0.0253873157139232,0.025764475024048,0.0261399630101966,0.0265137946672387,0.0268859847805628,0.0272565479297767,0.0276254984923358,0.0279928506470992,0.028358618377817,0.0287228154765485,0.0290854555470152,0.0294465520078854,0.029806118095998,0.0301641668695209,0.0305207112110489,0.0308757638306414,0.0312293372688008,0.0315814438993931,0.0319320959325114,0.0322813054172852,0.0326290842446334,0.0329754441499658,0.0333203967158318,0.0336639533745171,0.0340061254105921,0.0343469239634096,0.0346863600295554,0.0350244444652516,0.0353611879887137,0.0356966011824625,0.0360306944955922,0.0363634782459941,0.0366949626225392,0.037025157687218,0.0373540733772405,0.037681719507095,0.0380081057705694,0.0383332417427328,0.0386571368818799,0.0389798005314392,0.0393012419218445,0.0396214701723709,0.0399404942929368
"P.mutate",0.00586980602390327,0.00654474625494717,0.0100159167978983,0.0133488919996022,0.0194364946708057,0.0280066961572344,0.0317546378095461,0.0339040396786364,0.0377219115944395,0.0406940794527075,0.0449214652591463,0.046080392192205,0.0462369741799801,0.0475710087119578,0.0495981501380931,0.0513236429077391,0.0515195316883111,0.0531222125486371,0.0539652901500689,0.0540430971100457,0.0552270126041069,0.0590019053659638,0.0593682233021389,0.0593797651936852,0.0598602315330727,0.0603868409783648,0.061556572997289,0.0615841479661906,0.0630918733553721,0.0641012990806994,0.0646960221407977,0.0655146605422485,0.0655986538854439,0.0665421115425834,0.0671943488274151,0.0673168952804757,0.0674561952050607,0.0675421239415342,0.0679249026327186,0.0680023964628229,0.0681456572115342,0.0683912677538311,0.0689018211295883,0.0689566099562121,0.0689933309399707,0.0693863949775473,0.0694238642461502,0.0694306063694174,0.0694414046314868,0.0707673897858531,0.0707810586831776,0.0708584356449261,0.0714721055028272,0.0719088509362545,0.0722299058615694,0.0722336966137747,0.0722466754906002,0.0722516304363951,0.0722795955414902,0.0723220461165105,0.0727453685444324,0.0731878640345603,0.073197218981559,0.0732103578277946,0.0732531062339491,0.0734878182956402,0.073490392462496,0.0735090697775764,0.0735234711790701,0.0735390211736671,0.0735501598803732,0.0735885812907275,0.073597502232667,0.0737899474436004,0.0737923892179304,0.0739320451369075,0.0741644543593441,0.0741694204351198,0.0742002950737422,0.0742158456985363,0.0743293695305335,0.0744496597305664,0.0744573670168226,0.0744600995201905,0.0744682633548298,0.0745075321028503,0.0745094277854611,0.0746836357812739,0.0746885334574666,0.0746954760128202,0.0747021695022997,0.0747113254069044,0.0747290791927383,0.0747296945928462,0.0747403822388809,0.074748142812881,0.0747508782143632,0.0747511057331096,0.0747590059211831,0.0747946447557306
