"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
"P.recom",0.000115255960719417,0.000143911686480743,0.000259025253933613,0.000374000529424924,0.000488837805631663,0.000517479829781069,0.000517479829781069,0.000517479829781069,0.000632175608151816,0.000652781478260213,0.000681416819942236,0.000681416819942236,0.000795969779606562,0.000910385622783663,0.00102466463889005,0.00105328633547468,0.00105328633547468,0.00150475062634153,0.00151604993092965,0.00151604993092965,0.00151604993092965,0.00178647812448512,0.00188132052698137,0.00188132052698137,0.00233222062385576,0.00233222062385576,0.00242698659350844,0.00245556966886963,0.00245556966886963,0.00272560524290777,0.00283956846477669,0.00286012404336541,0.00331039682461031,0.0034241770591891,0.00351882188212612,0.00355142437902178,0.00356270148166902,0.00497068381445664,0.00506515375306244,0.00509770403599665,0.00512621111898696,0.00513747108087394,0.00525093824354241,0.00525093824354241,0.00525093824354241,0.00569995012670129,0.00570123436049766,0.00570123436049766,0.00572253073386622,0.00573378256764679,0.00573378256764679,0.0057663089538678,0.00588860186791921,0.0058998495530954,0.00593017863439864,0.00637870310182717,0.00777994066853848,0.00789301002616205,0.0079871810135962,0.0079871810135962,0.0079871810135962,0.00810010806110861,0.00810010806110861,0.00855978332008253,0.00856470629768265,0.00859311658032247,0.00862152457987947,0.00864274208496656,0.00864274208496656,0.00865559690962542,0.00910268728177196,0.0091351018820855,0.00925696502929399,0.00935097908452797,0.00935097908452797,0.00937936450229828,0.00937936450229828,0.0094920228071719,0.0094920228071719,0.00950677865162772,0.00952153011008556,0.00952390807366242,0.00997043383588538,0.00997181675912068,0.0104179551159377,0.0104798727092661,0.0104798727092661,0.0105010379454348,0.0105334056158403,0.0109791061481783,0.011072931806048,0.0124645854694884,0.0125214078905215,0.0125425119630347,0.012663932307644,0.012663932307644,0.0126922265882895,0.0128603006912258,0.0129724807387308,0.0130938204632921
"P.naive",6.94745171780868e-05,0.000138885552221179,0.000208233200259931,0.000277517556255773,0.000346738715001247,0.000415896771120332,0.000484991819068764,0.000554023953134363,0.000622993267437348,0.000691899855930655,0.000760743812400276,0.000829525230465562,0.000898244203579545,0.000966900825029261,0.00103549518793606,0.00110402738525594,0.00117249750977985,0.00124090565413399,0.00130925191078018,0.0013775363720161,0.00144575912997568,0.00151392027662937,0.00158201990378443,0.00165005810308532,0.00171803496601392,0.00178595058388993,0.0018538050478711,0.0019215984489536,0.00198933087797229,0.00205700242560105,0.00212461318235308,0.00219216323858122,0.00225965268447823,0.00232708161007713,0.00239445010525147,0.00246175825971566,0.00252900616302527,0.00259619390457734,0.00266332157361064,0.00273038925920605,0.0027973970502868,0.00286434503561877,0.00293123330381085,0.00299806194331516,0.00306483104242742,0.00313154068928721,0.00319819097187827,0.00326478197802883,0.00333131379541184,0.00339778651154534,0.00346420021379271,0.00353055498936301,0.0035968509253112,0.00366308810853851,0.00372926662579269,0.00379538656366833,0.00386144800860712,0.00392745104689816,0.00399339576467828,0.00405928224793227,0.00412511058249322,0.00419088085404277,0.00425659314811145,0.00432224755007893,0.0043878441451743,0.0044533830184764,0.00451886425491405,0.00458428793926641,0.00464965415616317,0.00471496299008492,0.00478021452536341,0.0048454088461818,0.00491054603657499,0.00497562618042986,0.0050406493614856,0.00510561566333394,0.00517052516941948,0.00523537796303993,0.0053001741273464,0.00536491374534373,0.00542959689989066,0.00549422367370023,0.00555879414933997,0.00562330840923221,0.00568776653565436,0.0057521686107392,0.0058165147164751,0.00588080493470635,0.00594503934713342,0.00600921803531323,0.0060733410806594,0.00613740856444257,0.00620142056779065,0.00626537717168906,0.00632927845698107,0.00639312450436799,0.00645691539440952,0.00652065120752395,0.00658433202398849,0.00664795792393949
"P.mutate",0.000517839828926475,0.000624827885261735,0.000934645612701531,0.00138833066520403,0.00193829500858369,0.00275516998077284,0.00355463728264422,0.00404905963292355,0.00472199146676553,0.00562745674340529,0.00654627245790816,0.00766871840771663,0.0077335149754125,0.00798302432934121,0.00886235836162708,0.00921931538484126,0.00929212291163208,0.00961645052969191,0.00977304797725099,0.00983239912399984,0.00997273886185671,0.0110448403524191,0.0111690305850377,0.0113187054880672,0.0119983031856386,0.0123417355831501,0.0127586969339413,0.0127848960500716,0.0129861851071121,0.0134071719246251,0.0136077879704504,0.0140475942527786,0.0142562474487647,0.0150019513791622,0.0152117347321362,0.0154756305483191,0.0156339362471775,0.0156734411077781,0.0162296735081322,0.0163009166037259,0.0164041754948371,0.0168838310030165,0.0170366323534339,0.0180234956082759,0.0185199984686114,0.0185765634385127,0.0187572618553502,0.0187855208795814,0.0188935691177384,0.0190754541730897,0.0192633956971685,0.0194827163621764,0.0196719233201949,0.0198330197805937,0.0202378906977123,0.0204091738746332,0.0204707218128157,0.0205076170030264,0.020666703132534,0.0210796602417078,0.0212000930641391,0.021298600583624,0.0214562420393728,0.0216954557022068,0.0219137884358219,0.0223960080782403,0.0224535030031839,0.0225584308071186,0.0228970850594387,0.0231402267675017,0.0236153096187246,0.0237483741241579,0.0240664748357289,0.0244169485347158,0.0246394617649715,0.0247543493747851,0.0249123632198776,0.025310146338513,0.0254942420262131,0.0257236744822669,0.0260839649591692,0.0264935768222012,0.0268002268730456,0.0269244223401351,0.0271559147932626,0.0273264165538857,0.0274886818368936,0.0279208855285341,0.0279651086127139,0.0280656438686155,0.0281943091920957,0.0282452729990506,0.0284537207525495,0.028536600476869,0.0288411072477355,0.0289110307326901,0.0292489083298417,0.0293038304072634,0.0294014048955964,0.0302110422303753
